k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.0,32.048512665192554,1.0,0.015625,0.015625
1,-1.05799730202622,30.87502457850413,1.0,0.03125,0.046875
2,-2.1075915394159788,29.871506549445517,1.0,0.03125,0.078125
3,-3.085182140138248,28.854088325102467,1.0,0.046875,0.125
4,-3.7859830468132962,28.058159124469828,1.0,0.078125,0.203125
5,-4.5256324695266565,27.000751581496896,1.0,0.03125,0.234375
6,-5.134389850753516,26.49707555558531,1.0,0.140625,0.375
7,-5.7551777235744535,25.772837327774138,1.0,0.140625,0.515625
8,-6.5164273107072725,24.566118910888935,1.0,0.078125,0.59375
9,-7.298677224294369,23.4860390783488,1.0,0.015625,0.609375
10,-7.761737354019801,23.00319729663233,1.0,0.015625,0.625
11,-8.306141565435714,22.10114685586012,1.0,0.0625,0.6875
12,-8.853359919712986,21.106666832622334,1.0,0.0625,0.75
13,-9.249772691797482,20.6650152619455,1.0,0.03125,0.78125
14,-9.744937280611936,20.160169560023093,1.0,0.15625,0.9375
15,-10.135593461150677,19.88198561317613,1.0,0.140625,1.078125
16,-10.550555235099917,19.174894554368613,1.0,0.0625,1.140625
17,-10.907662705427352,18.662525952617504,1.0,0.046875,1.1875
18,-11.227833991185362,18.191888777214643,1.0,0.03125,1.21875
19,-11.582027898143034,17.635304298302145,1.0,0.03125,1.25
20,-11.907597582080816,16.98348427163297,1.0,0.140625,1.390625
21,-12.251318996567184,16.61651029150606,1.0,0.078125,1.46875
22,-12.589639638598275,16.189605420466492,1.0,0.015625,1.484375
23,-12.882142032646177,16.024124676859145,1.0,0.125,1.609375
24,-13.16390873946836,15.768781360609701,1.0,0.046875,1.65625
25,-13.44764984392088,15.400071517792178,1.0,0.03125,1.6875
26,-13.711302770892216,14.90763692651765,1.0,0.046875,1.734375
27,-13.940304428476178,14.708353055670132,1.0,0.03125,1.765625
28,-14.127418129532854,14.42089200428291,1.0,0.046875,1.8125
29,-14.355409693813804,14.028639774730285,1.0,0.046875,1.859375
30,-14.544509149194818,13.862108140077256,1.0,0.046875,1.90625
31,-14.758843483070128,13.660128529177507,1.0,0.171875,2.078125
32,-14.999712446597544,13.220439055349285,1.0,0.03125,2.109375
33,-15.139131846910932,13.120667799089668,1.0,0.140625,2.25
34,-15.279557020299602,12.689037834177233,1.0,0.046875,2.296875
35,-15.461353357286878,12.490649679423024,1.0,0.0625,2.359375
36,-15.637632076185769,12.113272391583834,1.0,0.140625,2.5
37,-15.770106618089805,12.085883416764874,1.0,0.03125,2.53125
38,-15.950792790770414,11.905051591413706,1.0,0.03125,2.5625
39,-16.120108812045558,11.69447615618904,1.0,0.03125,2.59375
40,-16.26578977826073,11.412585021379472,1.0,0.03125,2.625
