k,f,grad_norm,t_k
121,-128.72296487837707,4.300888267997462,1.0
122,-128.8110669553219,4.265881305595451,1.0
123,-128.90913320574538,4.198626043966011,1.0
124,-128.9636121078313,4.16985513861972,1.0
125,-129.07629777721291,4.107925696751176,1.0
126,-129.13792491864712,4.0772314473406475,1.0
127,-129.19999327353383,4.028560109980189,1.0
128,-129.2775298420894,3.9766177102030924,1.0
129,-129.3374371657061,3.9350625449759122,1.0
130,-129.39666406900807,3.9125864525962464,1.0
131,-129.4635548282897,3.8886523145057117,1.0
132,-129.51664614425,3.8216957247086443,1.0
133,-129.5658688682001,3.794150445957574,1.0
134,-129.62753288157387,3.760444763426569,1.0
135,-129.68109567391576,3.718296464428714,1.0
136,-129.74124606422035,3.6583523262514555,1.0
137,-129.80371959425196,3.5998295563212195,1.0
138,-129.84905061640123,3.56915899301428,1.0
139,-129.9253571414099,3.503163341490197,1.0
140,-129.98924443964495,3.476384595533878,1.0
141,-130.03879215236307,3.439196180766556,1.0
142,-130.11824812161296,3.364601152636247,1.0
143,-130.15711553705995,3.333748378501399,1.0
144,-130.1945572342514,3.3038919699945137,1.0
145,-130.23918791427778,3.272792401222921,1.0
146,-130.30133307599266,3.2155381820937685,1.0
147,-130.33429287269269,3.1766499334305576,1.0
148,-130.36861006606665,3.1354163032658158,1.0
149,-130.41755210815165,3.076211482543622,1.0
150,-130.4644999479163,3.029469545992206,1.0
151,-130.51420135664108,2.9924263565978046,1.0
152,-130.5588492977351,2.946456615907324,1.0
153,-130.60035286378883,2.8938022737626063,1.0
154,-130.63548321925563,2.840574174498853,1.0
155,-130.6801860074683,2.801718145696971,1.0
156,-130.71000489895445,2.7691674036439644,1.0
157,-130.74934495128525,2.7320740384184936,1.0
158,-130.78809478325013,2.6801285731958813,1.0
159,-130.8145510557199,2.6371652977222277,1.0
160,-130.84267788957732,2.6012538333027138,1.0
161,-130.88230155907502,2.5636327618518786,1.0
162,-130.91426634952018,2.5463252083422514,1.0
163,-130.94479358524953,2.5143316108448026,1.0
164,-130.9865870801661,2.4556710088156843,1.0
165,-131.01448923213707,2.426722283244888,1.0
166,-131.04589509400444,2.3684507194584135,1.0
167,-131.06576765780454,2.3444886484122356,1.0
