k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.49921221655503095,1.0,0.00495018529976361,2.2115980000000004,2.2115980000000004
1,0.24834900547701497,0.14721274929550682,1.0,0.008895505485501252,2.1157779999999997,4.327376
2,0.12299728620389869,0.06093502244728487,1.0,0.026208726372454444,2.0952979999999997,6.422674
3,0.05553532639297566,0.02492564811350853,1.0,0.056824590107026354,2.057322,8.479996
4,0.02246050115007795,0.009617802529012204,1.0,0.08103691167227298,2.023866,10.503862
5,0.008616449784247285,0.0035690887773400363,1.0,0.08992405250705161,2.0375560000000004,12.541418
6,0.0032508775998495902,0.0013135946247895258,1.0,0.10190057958643343,1.9988949999999992,14.540313
7,0.001219361174121602,0.00048242507458511784,1.0,0.10942249506177265,2.1135710000000003,16.653883999999998
8,0.0004556060833230418,0.00017721185174221713,1.0,0.10844427561019226,2.1348590000000023,18.788743
9,0.0001697152200367713,6.497058447577992e-05,1.0,0.10723516980165858,2.071240999999997,20.859983999999997
10,6.305645144525343e-05,2.3862583293057565e-05,1.0,0.10960891745604338,2.0337770000000006,22.893760999999998
11,2.3397827002450336e-05,8.772322266921086e-06,1.0,0.10784569941840814,2.0148420000000016,24.908603
12,8.66932513665308e-06,3.2240793221376534e-06,1.0,0.10901426409122042,2.088557999999999,26.997161
13,3.210808963771364e-06,1.1862280615847556e-06,1.0,0.11871026916140244,2.0263880000000007,29.023549
14,1.1892451968376993e-06,4.365963859183685e-07,1.0,0.1326458011570556,2.0844169999999984,31.107965999999998
15,4.410510944402192e-07,1.6158326388760358e-07,1.0,0.15546778193786345,2.0249679999999977,33.13293399999999
16,1.6399745654457527e-07,6.002261892337838e-08,1.0,0.16221352110962112,2.045151000000004,35.178084999999996
17,6.103791416097266e-08,2.2289966479271152e-08,1.0,0.17246545290031715,2.0470529999999982,37.225137999999994
18,2.2731155228616307e-08,8.291840741129322e-09,0.0,0.0,0.09602900000000147,37.321166999999996
