k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
70,8.005131340045649,3.8831679599653492,0.4101703339638026,0.03125,7,4,10,0.0,0.0,10,41.82962422208921
71,8.003932083142168,3.7119901657660983,0.40993780451149414,0.001953125,7,4,10,0.0,0.0,10,31217.098493442234
72,8.003923119535177,3.7097805217398747,0.4099663488488197,0.00048828125,7,4,10,0.0,0.0,10,2393978.867555364
73,8.003923101962675,3.7079707555512362,0.40996118190607395,0.00390625,7,4,10,0.0,0.0,9,207.87127564945152
74,8.003906553043228,3.67797092614341,0.40986151400854826,0.0078125,7,4,10,0.0,0.0,10,174714.41607518363
75,7.981811029335799,5.333407447048886,0.43235902850062646,0.00390625,7,4,10,0.0,0.0,10,1806826.4528583426
76,7.9327954270220316,3.016742752705905,0.43640482360387234,0.001953125,7,4,10,0.0,0.0,2,209.9922630934015
77,7.932748476575276,3.018484719052241,0.43645673729946327,0.001953125,7,4,10,0.0,0.0,10,1205329.204936999
78,7.93274782542535,3.0163783788462686,0.43646839898689144,0.0078125,7,4,10,0.0,0.0,10,209.53440972067895
79,7.901600336369382,4.248039829479914,0.4573038600278154,0.00390625,7,4,10,0.0,0.0,10,2662.2679168706536
80,7.866668019513044,2.8729867092661796,0.46268552610870994,0.0078125,7,4,10,0.0,0.0,10,136710.26569983023
81,7.833864032589707,4.0670949846513595,0.48314361798223937,0.00390625,7,4,10,0.0,0.0,10,4322536.160617396
82,7.80197758805573,2.953845902731902,0.4887280879212583,0.0078125,7,4,10,0.0,0.0,8,232.62510875241082
83,7.772524284875424,4.5039716870028155,0.5093851226799957,0.00390625,7,4,10,0.0,0.0,10,49.948202538417746
84,7.739250829046962,3.319799023419828,0.5144498605765676,0.0078125,7,4,10,0.0,0.0,10,716.0507965575941
85,7.723117058359843,5.879626791493528,0.536070405483304,0.00390625,7,4,10,0.0,0.0,10,427323.2139478532
86,7.683041722349057,4.36400941780705,0.539594470738269,0.0078125,7,4,10,0.0,0.0,5,302.0300101340247
87,7.682890567623573,4.324362031917715,0.5395544245361169,0.00390625,7,4,10,0.0,0.0,10,23.207354342938363
88,7.68288519832076,4.3053438622352544,0.5394994506673884,0.001953125,7,4,10,0.0,0.0,10,190.4987335090932
89,7.682754859214571,4.3654026797035845,0.5400024322646338,0.0009765625,7,4,10,0.0,0.0,10,130.5061745236153
90,7.682753199417164,4.3589679576782006,0.5399842911626116,0.015625,7,4,10,0.0,0.0,10,233923.20818186374
91,7.682002202122906,4.225353820852462,0.539685820258572,0.00390625,7,4,10,0.0,0.0,3,297.9727431692583
92,7.652610623068904,3.410433044946331,0.5513409147046576,0.0078125,7,4,10,0.0,0.0,10,78.72264329321284
93,7.643261960419756,6.561552478268393,0.5644671727499228,0.00390625,7,4,10,0.0,0.0,10,10609.475859893499
94,7.64321449176455,6.559593637073698,0.564600902496674,0.0625,7,4,10,0.0,0.0,10,12693132.53470428
95,7.641275593497053,6.149996305647782,0.5644995047468871,0.00390625,7,4,10,0.0,0.0,3,323.1039659935378
96,7.601865041921758,4.922740785070295,0.5775768164788871,0.03125,7,4,10,0.0,0.0,10,908.8263845090542
97,7.601829240951562,4.767124101042015,0.5772818126189841,0.00390625,7,4,10,0.0,0.0,10,66940.69890569443
98,7.601771204592517,4.750911503523028,0.5772360673625108,0.00390625,7,4,10,0.0,0.0,10,278424.07116963994
99,7.572507045284912,4.051817569762352,0.5818037291944581,0.0625,7,4,10,0.0,0.0,6,323.4496115396249
100,7.5722274026285215,3.793670155184932,0.5813395442357553,0.0078125,7,4,10,0.0,0.0,10,24.97988807316368
101,7.572183193498903,3.7477685094153665,0.5811968416406337,0.015625,7,4,10,0.0,0.0,10,57.83416498284137
