k,f,grad_norm,t_k,rk_residual,cpu_time,cpu_time_sum
0,0.6931471805599454,0.4521363091289898,1.0,0.2563495143825386,0.23082800000000003,0.23082800000000003
1,0.32130462925285536,0.16642181927978247,1.0,0.29701891067032454,0.13718399999999997,0.368012
2,0.1892182114576743,0.07537144287168386,1.0,0.4538154044047272,0.15004099999999998,0.518053
3,0.11642626815549384,0.03978203699138513,1.0,0.6245374305617173,0.14034500000000005,0.658398
4,0.07521347102258584,0.026584068489657067,1.0,0.6130125669311505,0.14488499999999993,0.803283
5,0.051050796217243136,0.019032693950739966,1.0,0.5893925895556398,0.13777400000000006,0.941057
6,0.03551739283933448,0.013688397255987365,1.0,0.6110860266680731,0.137467,1.078524
7,0.02540672736551778,0.010299024202445533,1.0,0.601694194356257,0.13834100000000005,1.216865
8,0.0193425206611576,0.007839312934578449,1.0,0.5478443041270311,0.141173,1.358038
9,0.014379196860146782,0.005864966074291115,1.0,0.5584009306546479,0.14030799999999988,1.498346
10,0.011033479129492537,0.00455497051365236,1.0,0.5652593661798332,0.1398060000000001,1.638152
11,0.008960093597019445,0.003300127100998366,1.0,0.6349648769301026,0.14474699999999996,1.782899
12,0.007332918563682711,0.0029398452752618072,1.0,0.5970752408888715,0.13797099999999984,1.9208699999999999
13,0.0063178862845713665,0.002227482368630792,1.0,0.6947545936857698,0.1401760000000003,2.061046
14,0.005367775252291172,0.0020669418406138785,1.0,0.6257191490107917,0.14003100000000002,2.201077
15,0.004735453074840883,0.0016315575858946777,1.0,0.6970904841188688,0.1374329999999997,2.33851
16,0.004104150326812103,0.0015997799242590894,1.0,0.6276112846164438,0.14188200000000029,2.480392
17,0.0037648016723883736,0.00111791767205672,1.0,0.8271636385174768,0.13987999999999978,2.620272
18,0.0032525998516120033,0.001340350821592521,1.0,0.6069604320751903,0.13804799999999995,2.75832
19,0.003113236534290349,0.0008228543775153166,1.0,0.9127349848462811,0.13760300000000036,2.8959230000000002
20,0.0026748596402989054,0.0012058089666147152,1.0,0.5613701260369208,0.13891099999999978,3.034834
21,0.0026145972269098353,0.0007575793407994036,1.0,0.8494794969576241,0.14328899999999978,3.178123
22,0.002326696677987632,0.0008725958536820095,1.0,0.645260506159171,0.13458700000000023,3.31271
23,0.0021944670782001467,0.0005883403297603573,1.0,0.888645347939795,0.13939099999999982,3.452101
24,0.0019136528334256866,0.0008998413087984119,1.0,0.5269260742718489,0.13489900000000032,3.587
25,0.0018697905476578783,0.0005568402997352523,1.0,0.8028458844082373,0.13714199999999988,3.724142
26,0.0016596188300450599,0.0006364579595024382,1.0,0.6313603037589243,0.14260099999999998,3.866743
27,0.0015727880639752848,0.0004140417132978103,1.0,0.8769124056054389,0.13904899999999998,4.005792
28,0.001344121194610904,0.00057956118460547,1.0,0.5804453367530521,0.14052099999999967,4.146312999999999
29,0.0013246583628471194,0.00040164222606287216,1.0,0.7895564620476228,0.13546800000000037,4.281781
30,0.0011933634898011526,0.00041323121694046604,1.0,0.6749115762510582,0.13959600000000005,4.421377
31,0.0011027794733886771,0.00033337328591310833,1.0,0.7853190296608332,0.13951400000000014,4.560891
32,0.0009735706870590878,0.0003753442774079198,1.0,0.630862816316501,0.16117699999999946,4.722067999999999
33,0.0009245497521691407,0.0002490928628044952,1.0,0.8882878067939675,0.146134,4.868201999999999
34,0.000797179349046367,0.0003539866566860035,1.0,0.5600209374841101,0.15856000000000048,5.026762
35,0.0007818072648631644,0.00022993928734847433,1.0,0.8168026898833858,0.15757699999999986,5.184339
36,0.000699175720107829,0.00026901536348221617,1.0,0.6115196632605302,0.16088799999999992,5.3452269999999995
37,0.0006601740993945336,0.0001742754573397116,1.0,0.8935205843044696,0.14513700000000007,5.490364
38,0.000570283183623509,0.0002515132288480703,1.0,0.5811623174823568,0.14464699999999997,5.6350109999999995
39,0.0005587088998451836,0.0001686447462843781,1.0,0.7786078665386574,0.14127699999999965,5.776287999999999
40,0.0004998563317985036,0.0001869831909597474,1.0,0.6479149806482948,0.14375800000000005,5.920045999999999
41,0.0004684012398867826,0.0001317855457964194,1.0,0.8367695577170046,0.14008600000000015,6.060131999999999
42,0.0004064542284962617,0.00017529168938889748,1.0,0.5821936343006167,0.14285399999999981,6.202985999999999
43,0.00039282957361625213,0.0001030738546212402,1.0,0.913972635990631,0.14074700000000018,6.343732999999999
44,0.00033901397831356535,0.00015828175816143603,1.0,0.5308808275476151,0.14224499999999995,6.485977999999999
45,0.0003316032554510402,9.999501975269394e-05,1.0,0.7723954618231526,0.13898100000000024,6.624959
46,0.0002947231631580042,0.0001151934652052935,1.0,0.6257221060628473,0.14035300000000017,6.765312
47,0.0002766457664628011,7.64972205776632e-05,1.0,0.8408701000186528,0.13684999999999992,6.902162
48,0.0002372748362670007,0.00010673734920844484,1.0,0.5598516551826296,0.14287500000000009,7.045037
49,0.00023018616817771704,6.302853388460393e-05,1.0,0.8728867426688748,0.1363259999999995,7.181362999999999
50,0.00019947729101921146,8.656482631845175e-05,1.0,0.5663421447953569,0.138973,7.320335999999999
51,0.00019112930273394482,4.9269455646972544e-05,1.0,0.9219390799524143,0.13791000000000064,7.458246
52,0.00016673043659002756,7.677768935494253e-05,1.0,0.5276160632383013,0.14302199999999932,7.601267999999999
53,0.00016190565992646997,4.503225187104668e-05,1.0,0.8401404005137916,0.1439509999999995,7.745218999999999
54,0.00014325713023586464,5.9943936671918175e-05,1.0,0.5818156032112919,0.1396360000000012,7.884855
55,0.00013558832261990496,3.5605756607861116e-05,1.0,0.9079264239024273,0.138204,8.023059
56,0.00011731589817853632,5.3551482787066994e-05,1.0,0.5160561347204898,0.13952999999999882,8.162588999999999
57,0.00011191106829015269,2.908373762133769e-05,1.0,0.9144019924017623,0.13841500000000018,8.301003999999999
58,9.762202698205282e-05,4.216073278807721e-05,1.0,0.5779456449021977,0.1351610000000001,8.436164999999999
59,9.23553731186322e-05,2.4471773528814132e-05,1.0,0.9042442080519885,0.14515100000000025,8.581316
60,7.997503951232006e-05,3.870478024832729e-05,1.0,0.49356864363402475,0.13957399999999964,8.720889999999999
61,7.466141024746703e-05,2.0856715643514865e-05,1.0,0.8719064956183045,0.15630699999999997,8.877196999999999
62,6.414789760407853e-05,2.8843646716786563e-05,1.0,0.5222338091962471,0.1449840000000009,9.022181
63,5.890705538537755e-05,1.657497651395058e-05,1.0,0.8474348542414913,0.14071299999999987,9.162894
64,5.062476859393259e-05,2.29629342061185e-05,1.0,0.5230762340221685,0.14291899999999913,9.305812999999999
65,4.606635382583345e-05,1.2821281697317296e-05,1.0,0.8416018981735468,0.13803500000000035,9.443848
66,3.9570729248182534e-05,1.8824073675012236e-05,1.0,0.49111380566193347,0.1400459999999999,9.583893999999999
67,3.573540169660601e-05,1.1222340008428602e-05,1.0,0.7559487634057239,0.14439700000000144,9.728291
68,3.060711233720894e-05,1.33907662063206e-05,1.0,0.5426960276113907,0.1386509999999994,9.866942
69,2.661731625348053e-05,9.556118594858746e-06,1.0,0.6442868616465363,0.14185599999999887,10.008797999999999
