k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.0,32.048512665192554,1.0,0.03303400000000001,0.03303400000000001
1,-5.998680220082106,25.65149939509008,1.0,0.031815999999999955,0.06484999999999996
2,-10.000885636673335,20.770353048698038,1.0,0.03178900000000001,0.09663899999999997
3,-12.44099569749891,17.568153084661432,1.0,0.032972,0.12961099999999998
4,-14.300588299290997,14.663571912500954,1.0,0.033048999999999995,0.16265999999999997
5,-15.866899960230917,13.342614125209433,1.0,0.032657999999999965,0.19531799999999994
6,-16.99698045107116,11.760616196957203,1.0,0.03172800000000009,0.22704600000000003
7,-17.876320234354168,10.38334881879888,1.0,0.03171899999999994,0.25876499999999997
8,-18.66451305957497,9.3267846191513,1.0,0.03427599999999997,0.29304099999999994
9,-19.31536669966889,8.572943247962598,1.0,0.03178700000000001,0.32482799999999995
10,-19.793064046440755,7.686029767388201,1.0,0.03190400000000004,0.356732
11,-20.22719005323897,7.242167295330277,1.0,0.035784999999999956,0.39251699999999995
12,-20.559416582358303,6.774973542622845,1.0,0.036124000000000045,0.428641
13,-20.911351418013588,6.41152983210979,1.0,0.03610499999999994,0.46474599999999994
14,-21.18714866143773,6.053566235580951,1.0,0.03643200000000002,0.5011779999999999
15,-21.44952495490829,5.542866516025558,1.0,0.04336099999999998,0.5445389999999999
16,-21.64731703761951,5.13227974894779,1.0,0.03694800000000009,0.581487
17,-21.850032275353577,5.075242316145588,1.0,0.03463799999999995,0.6161249999999999
18,-22.04418056417561,4.949265807162615,1.0,0.03382300000000005,0.649948
19,-22.224417951163563,4.741624521505569,1.0,0.03341499999999986,0.6833629999999998
20,-22.376214136732955,4.391634427784256,1.0,0.0348170000000001,0.7181799999999999
21,-22.501605469954896,4.090998965816339,1.0,0.03505099999999994,0.7532309999999999
22,-22.63378241104161,3.943109357414963,1.0,0.035105000000000164,0.788336
23,-22.750154588240846,3.8398216190050922,1.0,0.034015999999999824,0.8223519999999999
24,-22.85863174615354,3.7298881458503153,1.0,0.03353000000000006,0.8558819999999999
25,-22.957184996848156,3.5847876035542496,1.0,0.03288399999999991,0.8887659999999998
26,-23.05189939468965,3.327457088098889,1.0,0.032084,0.9208499999999998
27,-23.1380858392126,3.217805717189471,1.0,0.03388600000000008,0.9547359999999999
28,-23.21777504139571,3.0918138096748997,1.0,0.03411199999999992,0.9888479999999998
29,-23.280485075719152,2.909775575938195,1.0,0.035341999999999985,1.02419
30,-23.343033414132265,2.8252521649924547,1.0,0.03483700000000001,1.059027
31,-23.399648065616574,2.646986161210309,1.0,0.03432600000000008,1.093353
32,-23.452368272721614,2.5309961467540774,1.0,0.033438999999999997,1.126792
33,-23.49933303740095,2.473470226161045,1.0,0.0329060000000001,1.1596980000000001
34,-23.54538244025013,2.4177440342700818,1.0,0.034532999999999925,1.194231
35,-23.587624255154843,2.332923552793851,1.0,0.03338200000000002,1.227613
36,-23.625594727369936,2.322663642160541,1.0,0.03392799999999996,1.261541
37,-23.665996275539303,2.2113457857128553,1.0,0.033374000000000015,1.294915
38,-23.69603019964275,2.075674116405083,1.0,0.03511400000000009,1.3300290000000001
39,-23.729738255611238,2.0326909901945327,1.0,0.03668399999999994,1.366713
40,-23.758217088131513,1.938135122013682,1.0,0.034705999999999904,1.401419
41,-23.78575006602985,1.8710672882123782,1.0,0.03619400000000006,1.437613
42,-23.8100566277789,1.767353320455543,1.0,0.03593599999999997,1.473549
43,-23.833588662759585,1.759732665388161,1.0,0.03434000000000004,1.507889
44,-23.856575433681634,1.7015818581944742,1.0,0.03374699999999997,1.541636
45,-23.876704028238052,1.6172342846944667,1.0,0.03313100000000002,1.574767
46,-23.89750530428694,1.5629417958245928,1.0,0.03403099999999992,1.608798
47,-23.917027957100746,1.5337112277134621,1.0,0.03411200000000014,1.64291
48,-23.934796859058697,1.48222828689366,1.0,0.03354999999999997,1.67646
49,-23.949884023884977,1.4120447168836927,1.0,0.03659100000000004,1.713051
50,-23.964086554848286,1.3666107026767247,1.0,0.03613199999999983,1.749183
51,-23.978971669596163,1.336572099679448,1.0,0.03570800000000007,1.784891
52,-23.992163382606364,1.2997762140076066,1.0,0.033958000000000155,1.8188490000000002
53,-24.003917675014545,1.204955005323147,1.0,0.0329839999999999,1.851833
54,-24.01538421163966,1.19609056593947,1.0,0.03437000000000001,1.886203
55,-24.025347334936022,1.1427310240956776,1.0,0.036904999999999966,1.923108
56,-24.035226944204894,1.1583593272490296,1.0,0.03645299999999985,1.9595609999999999
57,-24.045364921123905,1.1183423862031572,1.0,0.03411500000000034,1.9936760000000002
58,-24.054064876893953,1.003084327382857,1.0,0.03306399999999998,2.02674
59,-24.06237073815194,1.0041487277267414,1.0,0.033023000000000025,2.0597630000000002
60,-24.07014024608762,0.9719243489914691,1.0,0.0329069999999998,2.09267
61,-24.07707016957236,0.9252888032046719,1.0,0.032798000000000105,2.125468
62,-24.083370226902954,0.8792820748527073,1.0,0.033034999999999926,2.158503
63,-24.089776000989804,0.8590066700607988,1.0,0.032128000000000156,2.190631
64,-24.09561102110178,0.8430940190832801,1.0,0.0334869999999996,2.224118
65,-24.1005918841235,0.8075461834432357,1.0,0.0345920000000004,2.25871
66,-24.105460111416534,0.7737453491117888,1.0,0.036829999999999696,2.29554
67,-24.109718409430947,0.7610774585174693,1.0,0.03629400000000027,2.331834
68,-24.113377371017997,0.7359126789805657,1.0,0.03503899999999982,2.366873
69,-24.11787316056904,0.7189128832601638,1.0,0.03576600000000019,2.402639
70,-24.12159730315537,0.6780923109527006,1.0,0.03558099999999964,2.43822
71,-24.124927875905676,0.6691244835919397,1.0,0.036741000000000135,2.474961
72,-24.128212091461606,0.6513032247441727,1.0,0.03639700000000001,2.511358
73,-24.131248805485168,0.6122227129095132,1.0,0.034441000000000166,2.545799
74,-24.134083766584567,0.5875978957510349,1.0,0.036054999999999726,2.581854
75,-24.13692469184631,0.5968442348187456,1.0,0.034959000000000184,2.616813
76,-24.13915691680984,0.5650580094836344,1.0,0.036274999999999835,2.653088
77,-24.141620189477706,0.557509189048301,1.0,0.03628600000000004,2.689374
78,-24.143965871655997,0.5514160538715583,1.0,0.03532400000000013,2.724698
79,-24.14619500357132,0.5099977357985811,1.0,0.03514200000000001,2.75984
80,-24.148098102420377,0.4858428905454839,1.0,0.03442500000000015,2.794265
81,-24.149773813430457,0.4685604421976308,1.0,0.03348099999999965,2.827746
82,-24.151294624176586,0.46864296897445595,1.0,0.03300100000000006,2.860747
83,-24.152983818455525,0.4597182537140403,1.0,0.03310000000000013,2.893847
84,-24.154443999339748,0.44269489235644105,1.0,0.033096000000000014,2.926943
85,-24.15588521807598,0.42812314893962633,1.0,0.03515099999999993,2.962094
86,-24.157092653069558,0.41091003107372065,1.0,0.03571500000000016,2.997809
87,-24.158329178712044,0.38756759573371763,1.0,0.03570999999999991,3.033519
88,-24.159568677881452,0.39618970006480725,1.0,0.035438999999999776,3.068958
89,-24.16068788161733,0.386383148950096,1.0,0.036285000000000345,3.105243
90,-24.16177812489117,0.37365091384378774,1.0,0.03596200000000005,3.1412050000000002
91,-24.162880498444288,0.36305143196263023,1.0,0.034882999999999775,3.176088
92,-24.16378037682433,0.35581822006883,1.0,0.0350290000000002,3.211117
93,-24.164656964807513,0.33307970829240846,1.0,0.03469999999999995,3.245817
94,-24.16543028586284,0.33342794838639206,1.0,0.034643999999999675,3.280461
95,-24.166144489379903,0.32925429710349935,1.0,0.03545900000000035,3.31592
96,-24.16686991326442,0.31383204576392004,1.0,0.034672000000000036,3.3505920000000002
97,-24.167625639009405,0.30007634849346565,1.0,0.034405999999999715,3.384998
98,-24.168271390228846,0.2844409261825109,1.0,0.03541400000000028,3.4204120000000002
99,-24.168825557073887,0.2735468881985433,1.0,0.03461299999999978,3.455025
100,-24.16937384671819,0.27250903678867766,1.0,0.03460399999999986,3.489629
101,-24.169916408305056,0.2623527481188247,1.0,0.03586200000000028,3.525491
102,-24.170438960089015,0.2593246714445825,1.0,0.03560300000000005,3.561094
103,-24.170945851843356,0.26251084477575165,1.0,0.035174999999999734,3.596269
104,-24.171467408936103,0.25281556396100924,1.0,0.03636100000000031,3.6326300000000002
105,-24.17196701880757,0.23862819562874657,1.0,0.03928799999999999,3.6719180000000002
106,-24.17235022594555,0.23046548916818865,1.0,0.037058000000000035,3.7089760000000003
107,-24.172768517092017,0.22100556795979712,1.0,0.040422999999999654,3.749399
108,-24.173087695839495,0.21324776576973153,1.0,0.034137000000000306,3.7835360000000002
109,-24.173458217665797,0.20859564749188275,1.0,0.03360399999999952,3.8171399999999998
110,-24.17379376365554,0.20797290370224414,1.0,0.03507499999999997,3.8522149999999997
111,-24.17409372589404,0.19960421820057117,1.0,0.03730600000000006,3.889521
112,-24.17438506772115,0.19822340172174172,1.0,0.036576000000000164,3.926097
113,-24.17469605005703,0.2011793953236001,1.0,0.03656400000000026,3.962661
114,-24.174976302287202,0.1900633015117075,1.0,0.03714800000000018,3.9998090000000004
115,-24.17522992574962,0.18137420292263962,1.0,0.03694699999999962,4.0367560000000005
