k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,0.0,32.048512665192554,0.0,1.0,11,10,200,0.0,0.0,200,0.35374336458600053
1,-450.25516284196686,11.251526046144752,30.00850422270215,1.0,11,10,200,0.0,0.0,200,0.4799214434289622
2,-499.9146051258948,5.222830056513148,32.71212722783427,1.0,11,10,200,0.0,0.0,200,0.48122386411063606
3,-510.5621596998693,2.4459854151791145,32.486556208513726,1.0,11,10,200,0.0,0.0,200,0.48025471980603734
4,-512.9000406790183,1.1432771724174837,32.1048606022477,1.0,11,10,200,0.0,0.0,200,0.46740021263837733
5,-513.4184221253661,0.5199228791611681,32.03445416397923,1.0,11,10,200,0.0,0.0,200,0.49087238208862627
6,-513.5224627464463,0.2494765682680514,32.03501187791699,1.0,11,10,200,0.0,0.0,200,0.49677737184050746
7,-513.5462860949561,0.12079677601408119,32.04807362015054,1.0,11,10,200,0.0,0.0,200,0.45898378569386755
8,-513.5521222640605,0.05403260947901631,32.04779285774692,1.0,11,10,200,0.0,0.0,200,0.486525574038379
9,-513.5532560265635,0.025534249172717176,32.04803429013855,1.0,11,10,200,0.0,0.0,200,0.49414414410392643
10,-513.5535051084878,0.012402984801544935,32.048476040616485,1.0,11,10,200,0.0,0.0,200,0.4760549471502668
11,-513.5535654835287,0.005751864931935585,32.048335576151125,1.0,11,10,200,0.0,0.0,200,0.49044510480833303
12,-513.5535783241621,0.002720787287549671,32.048506508460854,1.0,11,10,200,0.0,0.0,200,0.47787746267762954
13,-513.553581224561,0.0012656561966780456,32.048548896756216,1.0,11,10,200,0.0,0.0,200,0.47787074670255
14,-513.5535818518845,0.0005892697827627886,32.048537384590745,1.0,11,10,200,0.0,0.0,200,0.48631358069969977
15,-513.5535819870049,0.00027748553384098325,32.04851881618832,1.0,11,10,200,0.0,0.0,200,0.4977887350487677
16,-513.5535820163794,0.00013508672963133948,32.04851771810493,1.0,11,10,200,0.0,0.0,200,0.48858972727065336
17,-513.5535820234551,6.401346209550203e-05,32.048513430100236,1.0,11,10,200,0.0,0.0,200,0.46382999853264895
18,-513.553582025091,2.871840378496483e-05,32.04851203036387,1.0,11,10,200,0.0,0.0,200,0.5086737126702755
19,-513.553582025406,1.4005191963656268e-05,32.04851187171073,1.0,11,10,200,0.0,0.0,200,0.48460732623834574
20,-513.5535820254819,6.641532495099879e-06,32.0485123304447,1.0,11,10,200,0.0,0.0,200,0.49158857961387464
21,-513.5535820254987,3.2036191581398222e-06,32.04851257097445,1.0,11,10,200,0.0,0.0,200,0.47958796737289405
22,-513.5535820255027,1.5091232434850585e-06,32.048512646315324,1.0,11,10,200,0.0,0.0,200,0.4822358866634763
23,-513.5535820255036,7.070836532899228e-07,32.04851265600236,1.0,11,10,200,0.0,0.0,200,0.5051896476088784
24,-513.5535820255037,3.4614370633313303e-07,32.048512660767294,1.0,11,10,200,0.0,0.0,200,0.469875922284109
25,-513.5535820255037,1.5793525068747375e-07,32.04851267283918,0.0625,11,10,200,0.0,0.0,200,0.47295589777967384
26,-513.5535820255037,1.502258795899268e-07,32.04851267240253,1.0,11,10,200,0.0,0.0,200,0.17330885539653315
27,-513.5535820255038,2.5972385557423005e-08,32.04851266540714,1.0,11,10,200,0.0,0.0,200,0.5006363640960839
28,-513.5535820255039,1.2601293451313602e-08,32.04851266564763,0.03125,11,10,200,0.0,0.0,200,0.45742762357979855
29,-513.5535820255042,1.2286973040319246e-08,32.048512665638846,3.0517578125e-05,11,10,200,0.0,0.0,200,0.17190315710774423
30,-513.5535820255042,1.2286608830359476e-08,32.04851266563883,1.0,11,10,200,0.0,0.0,200,0.06309228070900477
31,-513.5535820255042,7.699193624914824e-10,32.04851266518431,3.0517578125e-05,11,10,200,0.0,0.0,200,0.39100018922845675
32,-513.5535820255042,7.698993893066564e-10,32.04851266518431,3.0517578125e-05,11,10,200,0.0,0.0,200,0.14871535729339236
33,-513.5535820255042,7.69876456042202e-10,32.04851266518431,1.52587890625e-05,11,10,200,0.0,0.0,200,0.05443599074530001
34,-513.5535820255042,7.698646792367796e-10,32.04851266518431,3.814697265625e-06,11,10,200,0.0,0.0,200,0.020058349004982174
35,-513.5535820255042,7.69861956627738e-10,32.04851266518431,3.814697265625e-06,11,10,200,0.0,0.0,200,0.0074840712921823895
36,-513.5535820255042,7.698592192597621e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,0.002800155371691321
37,-513.5535820255042,7.698591365011484e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,0.0010774454797150314
38,-513.5535820255042,7.698590537463853e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,0.0004209854468940527
39,-513.5535820255042,7.698589709911053e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,0.00015619482248619698
40,-513.5535820255042,7.698588882358701e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,5.799618949302146e-05
41,-513.5535820255042,7.698588054806802e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,2.071997765822821e-05
42,-513.5535820255042,7.698587227255352e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,7.818066938979615e-06
43,-513.5535820255042,7.698586399704351e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,2.870351505755199e-06
44,-513.5535820255042,7.6985855721538e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,1.0686309085649232e-06
45,-513.5535820255042,7.6985847446037e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,3.994591487749443e-07
46,-513.5535820255042,7.698583917054048e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,1.5325606199230097e-07
47,-513.5535820255042,7.698583089504847e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,6.875882328294938e-08
48,-513.5535820255042,7.698582261956096e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,5.391015909668362e-08
49,-513.5535820255042,7.698581434407795e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,4.64222070742533e-08
50,-513.5535820255042,7.698580606859944e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,4.6289918189805743e-08
51,-513.5535820255042,7.698579779312542e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,4.6812935401775037e-08
52,-513.5535820255042,7.69857895176559e-10,32.04851266518431,4.76837158203125e-07,11,10,200,0.0,0.0,200,4.714118214468188e-08
53,-513.5535820255042,7.698578124219089e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,4.762027346935401e-08
54,-513.5535820255042,7.698577907259183e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,2.413121637963353e-08
55,-513.5535820255042,7.69857769029934e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.5439836645110856e-08
56,-513.5535820255042,7.69857747333956e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2828221684798676e-08
57,-513.5535820255042,7.698577256379843e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2518234974267345e-08
58,-513.5535820255042,7.69857703942019e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2448387361617593e-08
59,-513.5535820255042,7.698576822460599e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.293146371923926e-08
60,-513.5535820255042,7.698576605501071e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2209466846220376e-08
61,-513.5535820255042,7.698576388541607e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2100685496940913e-08
62,-513.5535820255042,7.698576171582204e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.221012358106306e-08
63,-513.5535820255042,7.698575954622865e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.1765076521068051e-08
64,-513.5535820255042,7.698575737663589e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2691324390203096e-08
65,-513.5535820255042,7.698575520704376e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2332244959686285e-08
66,-513.5535820255042,7.698575303745226e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.1392917145386945e-08
67,-513.5535820255042,7.698575086786139e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2473116519497737e-08
68,-513.5535820255042,7.698574869827114e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2525123875118556e-08
69,-513.5535820255042,7.698574652868153e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2024848301901005e-08
70,-513.5535820255042,7.698574435909255e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2128640496502356e-08
71,-513.5535820255042,7.69857421895042e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.3635423850664487e-08
72,-513.5535820255042,7.698574001991647e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2830531218540832e-08
73,-513.5535820255042,7.698573785032938e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2769198236750985e-08
74,-513.5535820255042,7.698573568074291e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2529514745997062e-08
75,-513.5535820255042,7.698573351115707e-10,32.04851266518431,2.384185791015625e-07,11,10,200,0.0,0.0,200,1.2615238300192317e-08
