iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
15,0.1332510274413368,0.04047692223032981,0.16974147948476867,-0.005881722870729536,1.0,0,7.377530541969463,139.76034904201515,1034,16330,0.061788056908424316,100,50,921,0.20118877262494,0.018518182928625237,0.0,0,3105982468,2939459983
16,0.12767845378185363,0.037296875155882245,0.16800883279759452,-0.005287546652240397,1.0,0,15.941608041990548,155.70211029215716,1040,17370,0.06290126835153356,100,50,927,0.1931239890740719,0.016811573183942618,0.0,0,4222185095,2690616457
17,0.12270698634312811,0.034452419655821104,0.15641505627336544,-0.004596730571617798,1.0,0,12.05858162487857,167.76090999995358,1040,18410,0.06533500245704989,100,50,927,0.18561363003783182,0.015393519304570145,0.0,0,3968104027,54444991
18,0.11833444419016939,0.03191402432078969,0.15198440333260732,-0.004123630055158391,1.0,0,8.148746459046379,175.90991575014777,1045,19455,0.06032721805674535,100,50,932,0.17864496724170456,0.014170578145454964,0.0,0,911355454,3763736515
19,0.1144159571415572,0.029599257718271012,0.14623733297640376,-0.0036914381722881885,1.0,0,7.780442625051364,183.69052666705102,1056,20511,0.05921497799071618,100,50,943,0.17204434811487126,0.013124195759070477,0.0,0,1107899402,3941414767
20,0.1109002286845079,0.02752956667660047,0.1461375464230144,-0.0033772390336644685,1.0,0,6.546660041902214,190.2373515830841,1058,21569,0.058135879995210325,100,50,945,0.1659203624531976,0.01217223014627643,0.0,0,3524449872,1769375212
21,0.10770811356321455,0.025734969797202446,0.13974605270235027,-0.0030134091268658415,1.0,0,6.814887583022937,197.05408654198982,1057,22626,0.058305643455092745,100,50,944,0.16042122614293425,0.011393001288660875,0.0,0,1692039298,251969119
22,0.10484018064880667,0.02418948263305558,0.1328068695600456,-0.002716895915668838,1.0,0,8.392105708131567,205.4463705420494,1071,23697,0.05568505194756332,100,50,958,0.15552968408974405,0.010692054222103424,0.0,0,146248062,632673050
23,0.10224880586147919,0.022634949196655957,0.12818608122510078,-0.0024634469181573386,1.0,0,8.457501291995868,213.9040083331056,1066,24763,0.05495337811836803,100,50,953,0.15044915817862178,0.010056902624206358,0.0,0,3150891578,2248766973
24,0.09989631548461775,0.021231282747922794,0.122203796361436,-0.002207392322186882,1.0,0,17.15267500001937,231.05684383306652,1074,25837,0.054371236139938287,100,50,961,0.14570958358297093,0.009510808653381232,0.0,0,960827715,1993968031
25,0.09776963027794212,0.02000163196621005,0.12125593171829237,-0.002037712086779474,1.0,0,21.423718667123467,252.48085487494245,1068,26905,0.055773509715622206,100,50,955,0.14142712599148033,0.009014448557465828,0.0,0,3003803459,1816295082
26,0.09581722328213373,0.0189193596535273,0.11669500961347953,-0.0018560439251729738,1.0,0,17.371764624956995,269.8529472500086,1083,27988,0.053363116103397557,100,50,970,0.1375476632063493,0.00857473435646866,0.0,0,3972902988,1018038117
27,0.09403627577023581,0.017849842672043724,0.11185077147721352,-0.001688186982012423,1.0,0,10.415161666925997,280.2683960420545,1082,29070,0.050748496309369784,100,50,969,0.13360330337249796,0.008179671528915912,0.0,0,3790591899,1079520284
28,0.09241050292841488,0.016853054345674197,0.11137172491899189,-0.0015629650975792686,1.0,0,10.462469458114356,290.7309884580318,1092,30162,0.04866136195757609,100,50,979,0.12981931422432563,0.00781622066682198,0.0,0,394088916,1647913318
29,0.09091211255626798,0.015993675218947016,0.10556765098278811,-0.0014160636207897889,1.0,0,6.818711375119165,297.5498596250545,1087,31249,0.0474589772444951,100,50,974,0.1264661030432543,0.007493210445328036,0.0,0,314152994,3831939575
30,0.08954659639767247,0.015173810855532823,0.10353958287714363,-0.0013094108283321173,1.0,0,8.460981708019972,306.0109342499636,1088,32337,0.046214582183291074,100,50,975,0.12318202326448784,0.007197423384957226,0.0,0,397870466,142579912
31,0.08828806407526062,0.014343100566705446,0.09960372981043214,-0.0011975759097851127,1.0,0,7.130541417049244,313.14162779203616,1079,33416,0.04640652229945037,100,50,966,0.11976268436664839,0.00692320536506621,0.0,0,2137114010,235401702
