k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
51,8.43582607540932,3.9860096346642977,0.23776626516728958,0.0078125,7,4,10,1e-08,1e-08,10,81.23578685728037
52,8.393078586733456,3.9245886579367597,0.25070133930064387,0.0078125,7,4,10,1e-08,1e-08,10,34080.49127297262
53,8.393067171010987,3.9654770280317138,0.25098581821872834,0.00390625,7,4,10,1e-08,1e-08,10,106614.72737147984
54,8.39211208143464,3.87697193408705,0.2508817854743336,0.03125,7,4,10,1e-08,1e-08,5,116.40667086342128
55,8.39171923801839,3.8264766706200852,0.2511036722879036,0.0078125,7,4,10,1e-08,1e-08,10,459.0556813617721
56,8.351081658272722,3.835714765290501,0.2722144587982104,0.0078125,7,4,10,1e-08,1e-08,10,1491.311851517458
57,8.312085016554295,4.066573178175281,0.28530287708695257,0.125,7,4,10,1e-08,1e-08,10,584551.6245505152
58,8.310993823006182,3.7563128276854543,0.2854935312901053,0.0078125,7,4,10,1e-08,1e-08,4,115.6751183940147
59,8.266472322078833,3.6471771952271186,0.30647585348651135,0.00390625,7,4,10,1e-08,1e-08,10,101583.10592484863
60,8.2661716169584,3.6129160393745994,0.3063519229253779,0.0078125,7,4,10,1e-08,1e-08,10,456146.02065789816
61,8.22820131266127,3.9987314217351417,0.3195807020132696,0.0078125,7,4,10,1e-08,1e-08,6,157.9285112725385
62,8.19891746127935,4.83390043195865,0.34223085134701847,0.0078125,7,4,10,1e-08,1e-08,10,41363.18259601007
63,8.182739332790545,6.331114485284168,0.35269426907689,0.0625,7,4,10,1e-08,1e-08,10,2262416.3826021994
64,8.180392745320093,6.102449075353061,0.3533103879876156,0.00390625,7,4,10,1e-08,1e-08,4,173.2634750419448
65,8.180340655275,6.093000117179609,0.35341433207579387,0.00048828125,7,4,10,1e-08,1e-08,10,404.6951192415758
66,8.180287301577025,6.084407466319437,0.35335700576798806,0.00390625,7,4,10,1e-08,1e-08,10,278461.72618104494
67,8.107769996701393,2.643408641353112,0.36594015897791127,0.0009765625,7,4,10,1e-08,1e-08,9,101.12230931039106
68,8.107748919897226,2.6394921620476146,0.36590905946792385,0.015625,7,4,10,1e-08,1e-08,10,529254.1546768429
69,8.054692057048547,5.372485169716815,0.39785050864377597,0.03125,7,4,10,1e-08,1e-08,8,208.04263720927221
70,8.052645197028948,5.005571673645913,0.3968180922334335,0.0078125,7,4,10,1e-08,1e-08,10,1652.7691643137405
71,8.052151456521262,7.4322988538179295,0.4220701685736515,0.00390625,7,4,10,1e-08,1e-08,10,438277.9281164807
72,7.967967113444222,3.4699889800722823,0.4234892712535505,0.03125,7,4,10,1e-08,1e-08,10,3701916.5672411807
73,7.967813743023379,3.361098654597716,0.4232608289771019,0.0078125,7,4,10,1e-08,1e-08,6,211.4722818613138
74,7.942489236313323,4.913979462629433,0.44500667455672405,0.00390625,7,4,10,1e-08,1e-08,10,10950.215769297549
75,7.899899095432033,2.9962094712650016,0.4496045471102154,0.0078125,7,4,10,1e-08,1e-08,10,953568.357420197
76,7.869224500148375,4.310586629952359,0.4704426163578198,0.00390625,7,4,10,1e-08,1e-08,10,2647395.0194557463
77,7.83461218516581,2.9703054342412476,0.4757321173710496,0.0078125,7,4,10,1e-08,1e-08,4,227.3345521889528
78,7.804848069261309,4.448618749358593,0.49646346376978917,0.00390625,7,4,10,1e-08,1e-08,10,91.78908823980989
79,7.7709767889739325,3.1977614430368924,0.5015904590902296,0.0078125,7,4,10,1e-08,1e-08,10,688.6080837755771
80,7.749564775912951,5.365862012173345,0.5229177951574966,0.00390625,7,4,10,1e-08,1e-08,10,750786.0577930668
81,7.711416746570386,3.90198408860142,0.5270008004391088,0.0625,7,4,10,1e-08,1e-08,7,286.6120385762103
82,7.710904293758188,3.640651347054875,0.5265323315004529,0.03125,7,4,10,1e-08,1e-08,10,2256.357635945013
83,7.710839352653052,3.5299734447886375,0.5263238483515613,0.0078125,7,4,10,1e-08,1e-08,10,11428.394575837367
84,7.702263923490915,6.580989449915861,0.5483515590560769,0.000244140625,7,4,10,1e-08,1e-08,10,139257.64582665957
85,7.70225179587505,6.5791470737430515,0.5483306571890381,0.015625,7,4,10,1e-08,1e-08,10,1488517.5177849734
86,7.701542479407684,6.442553351261988,0.5484054421759782,0.0078125,7,4,10,1e-08,1e-08,3,282.308235448694
87,7.6994457214084635,6.304630181879195,0.5485621412641044,0.03125,7,4,10,1e-08,1e-08,10,57.57866812585504
88,7.698527998908164,6.032962746414733,0.548734390702694,0.015625,7,4,10,1e-08,1e-08,10,134.20195989336727
89,7.698051150670748,5.946421954504899,0.547897772645562,0.00390625,7,4,10,1e-08,1e-08,10,4377.092537050601
90,7.656849452912402,4.491695571334325,0.5505505567479861,0.0078125,7,4,10,1e-08,1e-08,10,660780.7537244327
