k,f,grad_norm,t_k,cpu_time,cpu_time_sum
115,-24.17665584665356,0.14837701548010018,1.0,0.296875,28.71875
116,-24.17681372549778,0.14202173068642676,1.0,0.328125,29.046875
117,-24.17695991993095,0.13849970614564486,1.0,0.234375,29.28125
118,-24.1771003777831,0.1345776150473275,1.0,0.28125,29.5625
119,-24.17723950525736,0.12914073273881027,1.0,0.359375,29.921875
120,-24.177345690095468,0.12577781598321297,1.0,0.21875,30.140625
121,-24.17745135937902,0.1215854516487559,1.0,0.140625,30.28125
122,-24.1775520555451,0.11912816833448395,1.0,0.375,30.65625
123,-24.177644738142913,0.11469286620514109,1.0,0.375,31.03125
124,-24.177726889254124,0.10772574027044607,1.0,0.296875,31.328125
125,-24.177809313035002,0.10474186721099464,1.0,0.203125,31.53125
126,-24.177890135263873,0.10445613068068596,1.0,0.234375,31.765625
127,-24.177974904349146,0.10394795791762093,1.0,0.34375,32.109375
128,-24.178049352050152,0.10378407497757004,1.0,0.34375,32.453125
129,-24.178122371083205,0.0974655263510339,1.0,0.421875,32.875
130,-24.178194870313636,0.09534485238958883,1.0,0.421875,33.296875
131,-24.17826048063926,0.0943974201742384,1.0,0.375,33.671875
132,-24.17832337297707,0.09092053364467537,1.0,0.25,33.921875
133,-24.17838488440868,0.090417522046349,1.0,0.25,34.171875
134,-24.178443969456474,0.08618173325427489,1.0,0.296875,34.46875
135,-24.178495163152796,0.08438752777858446,1.0,0.15625,34.625
136,-24.178549331279175,0.0797310362382005,1.0,0.296875,34.921875
137,-24.178595295207913,0.08068427631691294,1.0,0.1875,35.109375
138,-24.1786400590678,0.07632954579928018,1.0,0.265625,35.375
139,-24.178683088123485,0.0748837047625529,1.0,0.328125,35.703125
140,-24.178723518660824,0.07516666956616233,1.0,0.234375,35.9375
141,-24.178765849960982,0.07334043683718691,1.0,0.109375,36.046875
142,-24.178805330263778,0.07047173339377609,1.0,0.25,36.296875
143,-24.178836584752975,0.06753956068843228,1.0,0.3125,36.609375
144,-24.17886808461667,0.06625890809094306,1.0,0.28125,36.890625
145,-24.178901453986665,0.06416806210723688,1.0,0.328125,37.21875
146,-24.178929480888133,0.06319440237728995,1.0,0.21875,37.4375
147,-24.17895463455947,0.06118115152315114,1.0,0.328125,37.765625
148,-24.178981732543367,0.058899623206711764,1.0,0.34375,38.109375
149,-24.179005555260737,0.057529446750684214,1.0,0.203125,38.3125
150,-24.179028259379823,0.05666562100232972,1.0,0.359375,38.671875
151,-24.17905302993866,0.05563701109046213,1.0,0.34375,39.015625
152,-24.17907409488141,0.055273137578268065,1.0,0.25,39.265625
153,-24.179095371060424,0.05134116293719174,1.0,0.21875,39.484375
154,-24.179113834104424,0.05028738631877555,1.0,0.3125,39.796875
155,-24.179135597654323,0.049852757954821324,1.0,0.125,39.921875
156,-24.1791548457175,0.04750758951262217,1.0,0.328125,40.25
157,-24.17917031959659,0.046615448577903354,1.0,0.328125,40.578125
158,-24.179184670938753,0.04465617334454748,1.0,0.296875,40.875
159,-24.179198457307134,0.04322351939039455,1.0,0.21875,41.09375
160,-24.179211221126444,0.04314115961432076,1.0,0.3125,41.40625
161,-24.179224900373956,0.04163932573271955,1.0,0.1875,41.59375
162,-24.17923860212895,0.04165268937558153,1.0,0.234375,41.828125
163,-24.179249929851636,0.03807288689577527,1.0,0.34375,42.171875
164,-24.179259822751533,0.03762995505106305,1.0,0.109375,42.28125
165,-24.179269625982695,0.03667277025495195,1.0,0.234375,42.515625
166,-24.179280126692877,0.037048804463275,1.0,0.109375,42.625
167,-24.179289487998037,0.03512767621088953,1.0,0.1875,42.8125
168,-24.179297773796915,0.034609003880913064,1.0,0.265625,43.078125
169,-24.179305991780378,0.033113924387283264,1.0,0.21875,43.296875
170,-24.179314043421247,0.03155554225078104,1.0,0.28125,43.578125
171,-24.179322037089193,0.03224474111593161,1.0,0.28125,43.859375
172,-24.17932921278618,0.031211700037125933,1.0,0.234375,44.09375
173,-24.179336209683527,0.03004683921444717,1.0,0.234375,44.328125
174,-24.179342139707305,0.029418399852086777,1.0,0.21875,44.546875
175,-24.17934961699561,0.02860395723017201,1.0,0.515625,45.0625
176,-24.179355342742824,0.027414701605918145,1.0,0.421875,45.484375
177,-24.17936073899584,0.027050300013811823,1.0,0.421875,45.90625
178,-24.179366063130164,0.02664804316436959,1.0,0.375,46.28125
179,-24.179370679028874,0.024916752404286844,1.0,0.265625,46.546875
180,-24.179376043975438,0.02498216175815931,1.0,0.328125,46.875
181,-24.179380392924,0.024649747302723908,1.0,0.25,47.125
182,-24.179384624853423,0.023651547886319773,1.0,0.234375,47.359375
183,-24.179388241969466,0.023251380208873577,1.0,0.21875,47.578125
184,-24.179392120800415,0.022577687691907933,1.0,0.296875,47.875
185,-24.17939599147588,0.022151256564367887,1.0,0.296875,48.171875
186,-24.17939934728872,0.02156870142953038,1.0,0.390625,48.5625
187,-24.179402570869858,0.02076882374845203,1.0,0.109375,48.671875
188,-24.17940567091884,0.02032020838291199,1.0,0.28125,48.953125
189,-24.179408544171768,0.02022800475225336,1.0,0.359375,49.3125
190,-24.179411461017676,0.019832856212564285,1.0,0.375,49.6875
191,-24.179413989523557,0.0187286672467168,1.0,0.25,49.9375
192,-24.179416319090453,0.01855406471768875,1.0,0.34375,50.28125
193,-24.17941867482341,0.01779612930581359,1.0,0.34375,50.625
194,-24.17942108723342,0.01782838400016942,1.0,0.34375,50.96875
195,-24.179423466887204,0.01705120874382668,1.0,0.140625,51.109375
196,-24.179425427974977,0.01665436658845993,1.0,0.140625,51.25
197,-24.179427552042505,0.01634331446692224,1.0,0.34375,51.59375
198,-24.179429545522765,0.01633208331315512,1.0,0.25,51.84375
199,-24.17943149679383,0.01618149185025286,1.0,0.453125,52.296875
200,-24.179433366925743,0.01582939667365166,1.0,0.453125,52.75
201,-24.179435042239444,0.015149979342832742,1.0,0.21875,52.96875
202,-24.17943647566663,0.014459243694542361,1.0,0.296875,53.265625
203,-24.17943808316169,0.013755552993679528,1.0,0.3125,53.578125
204,-24.179439437560664,0.013694358462042089,1.0,0.4375,54.015625
205,-24.179440862646224,0.013334321098119285,1.0,0.328125,54.34375
206,-24.179442047876076,0.01269942129551003,1.0,0.34375,54.6875
