k,f,grad_norm,t_k,cpu_time,cpu_time_sum
0,0.6931471805599454,0.469570892796963,1.0,0.06175999999999998,0.06175999999999998
1,0.6399854571412302,0.4283207098545429,1.0,0.05273800000000001,0.11449799999999999
2,0.5931195778143962,0.388375356834208,1.0,0.051257,0.16575499999999999
3,0.5521186704628128,0.3571831287835162,1.0,0.049985999999999975,0.21574099999999996
4,0.5201104148687481,0.3332408494190451,1.0,0.050039000000000056,0.26578
5,0.48769329162251746,0.3102732826298967,1.0,0.04962999999999995,0.31540999999999997
6,0.4568383360958436,0.2904235454832644,1.0,0.05108100000000004,0.366491
7,0.4344711754004811,0.2753105827035602,1.0,0.04961700000000002,0.41610800000000003
8,0.4107430709221288,0.25803342156526937,1.0,0.04959199999999997,0.4657
9,0.39177638744628324,0.2424359351840293,1.0,0.05344700000000002,0.519147
10,0.3747983412433715,0.23248403840096749,1.0,0.054929000000000006,0.574076
11,0.35927998699584895,0.22123044837606315,1.0,0.049800999999999984,0.623877
12,0.340382621216619,0.20704759682013257,1.0,0.053231999999999946,0.677109
13,0.32386777814143214,0.1980857382731636,1.0,0.052333000000000074,0.729442
14,0.30896251327494967,0.189301941835508,1.0,0.05056599999999989,0.7800079999999999
15,0.29460699808400126,0.17856509696920356,1.0,0.051636000000000015,0.8316439999999999
16,0.28204347564836085,0.1711446174213165,1.0,0.049814000000000025,0.881458
17,0.26920184432711175,0.162225029933532,1.0,0.04999599999999993,0.9314539999999999
18,0.2581682687399008,0.15360275970368364,1.0,0.04886500000000016,0.980319
19,0.2470727972605115,0.1462162318234726,1.0,0.04958899999999988,1.0299079999999998
20,0.23538563974455917,0.14006661323122613,1.0,0.050270999999999955,1.0801789999999998
21,0.22442228416917168,0.133442302899136,1.0,0.05170000000000008,1.1318789999999999
22,0.21751112936631609,0.12827006702002594,1.0,0.06070400000000009,1.192583
23,0.2095903616156489,0.12442451882553147,1.0,0.05549399999999993,1.2480769999999999
24,0.20361177742848963,0.1195109001395471,1.0,0.05584499999999992,1.3039219999999998
25,0.19616859105375897,0.11403071296531034,1.0,0.05404600000000004,1.3579679999999998
26,0.18968094490088402,0.10996959625871704,1.0,0.05022900000000008,1.408197
27,0.18463556026229583,0.10598138032380497,1.0,0.05433099999999991,1.4625279999999998
28,0.1783615820998134,0.10095810000425384,1.0,0.05307499999999998,1.5156029999999998
29,0.1723125148013748,0.09768932247329196,1.0,0.05157500000000015,1.567178
30,0.1676870173976479,0.09396515217054424,1.0,0.05163899999999999,1.618817
31,0.1614923493656918,0.08881724062418359,1.0,0.05257299999999998,1.67139
32,0.15589849403010755,0.08458789089864747,1.0,0.05142699999999989,1.7228169999999998
33,0.1520916893390061,0.0811114385048279,1.0,0.05532899999999996,1.7781459999999998
34,0.1479136523387076,0.07882611490940204,1.0,0.058031000000000166,1.836177
35,0.14389522953473616,0.07605548693609417,1.0,0.056556999999999746,1.8927339999999997
36,0.14009124957833644,0.07331077272144548,1.0,0.049363000000000046,1.9420969999999997
37,0.13665879215590634,0.07121149394425998,1.0,0.049649000000000054,1.9917459999999998
38,0.1328795462212288,0.06821049314201387,1.0,0.051066000000000056,2.0428119999999996
39,0.12977811924442234,0.06550483994300463,1.0,0.049911999999999956,2.0927239999999996
40,0.1269136753468095,0.0643117288053328,1.0,0.05155699999999985,2.1442809999999994
41,0.12410224150984112,0.06256239078336541,1.0,0.04893500000000017,2.1932159999999996
42,0.12161493513892059,0.06177541908563184,1.0,0.04821900000000001,2.2414349999999996
43,0.11863429992746541,0.060627596069601594,1.0,0.04963000000000006,2.2910649999999997
44,0.11576103326709225,0.05828092920968224,1.0,0.0541100000000001,2.345175
45,0.11325227796827884,0.05632461315701406,1.0,0.05122999999999989,2.3964049999999997
46,0.11114895825639025,0.05459442682486363,1.0,0.048751999999999907,2.4451569999999996
