k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,0.0,10.735309483871962,0.0,1.0,7,10,10,0.0,0.0,10,0.6045413641234434
1,-37.91677729679574,6.278002478569101,8.708246355816511,1.0,7,10,10,0.0,0.0,10,0.7561661710955717
2,-47.950345254424754,4.3984291747920405,10.844986601978494,1.0,7,10,10,0.0,0.0,10,0.7591449538302923
3,-52.93827640686574,3.0610973360512053,11.495262498294318,1.0,7,10,10,0.0,0.0,10,0.8460703811240873
4,-54.86283103377747,2.349725015178651,11.351163063458097,1.0,7,10,10,0.0,0.0,10,0.7046155357492176
5,-56.57202308791835,1.4501115607685284,11.155544099843945,1.0,7,10,10,0.0,0.0,10,0.7215261160015055
6,-57.16312565378789,0.9594886174079819,10.87859210970677,1.0,7,10,10,0.0,0.0,10,0.8112951853607958
7,-57.349163404470396,0.7406368243413419,10.794171054844343,1.0,7,10,10,0.0,0.0,10,0.6824796650181922
8,-57.51022243999137,0.4758411862465516,10.742353530077697,1.0,7,10,10,0.0,0.0,10,0.7588190412046928
9,-57.568046934481494,0.3328300550556007,10.751292117900954,1.0,7,10,10,0.0,0.0,10,0.8437236619786138
10,-57.59114454100026,0.2541271975029877,10.745090162326308,1.0,7,10,10,0.0,0.0,10,0.7683301764316998
11,-57.607313545472906,0.17956231109396997,10.743556636994304,1.0,7,10,10,0.0,0.0,10,0.8680312295025155
12,-57.612915782429845,0.145045336538602,10.749628390044426,1.0,7,10,10,0.0,0.0,10,0.7272706340640319
13,-57.61852899416237,0.09905415784580573,10.75054202275556,1.0,7,10,10,0.0,0.0,10,0.6177612311824876
14,-57.62179848290886,0.0572079425739094,10.74024206418252,1.0,7,10,10,0.0,0.0,10,0.7641947233265933
15,-57.62257667497805,0.04142903034306856,10.738795218640837,1.0,7,10,10,0.0,0.0,10,0.7610219989821029
