k,f,grad_norm,alpha
148,-19.001008934709372,7.712683233924734,1.0
149,-19.032453050883525,7.63286127811416,1.0
150,-19.05935922730812,7.573015980613545,1.0
151,-19.0908881700269,7.5330505301504385,1.0
152,-19.12306828073975,7.460081653528654,1.0
153,-19.151279813528575,7.37120958572605,1.0
154,-19.173266861146715,7.308943877509509,1.0
155,-19.205589880364954,7.294780552080507,1.0
156,-19.228529846437283,7.275301733634894,1.0
157,-19.26135571354513,7.2416062875352365,1.0
158,-19.28776983784729,7.188605932961019,1.0
159,-19.307636681562713,7.1548912466254135,1.0
160,-19.330440532078804,7.10057030562683,1.0
161,-19.35820809671835,7.0745543047998956,1.0
162,-19.38214881926794,7.107097897489062,1.0
163,-19.405780294127176,7.097617471520072,1.0
164,-19.443316509432854,7.029326781831215,1.0
165,-19.470383424270484,7.006253431949647,1.0
166,-19.497387766563524,6.879360084062637,1.0
167,-19.518380511871378,6.850228118162917,1.0
168,-19.54377873293963,6.844655246502967,1.0
169,-19.57353704680451,6.799934103851117,1.0
170,-19.59781285643853,6.701483882543709,1.0
171,-19.621041437303397,6.65356275237739,1.0
172,-19.645878236219367,6.6339881820377,1.0
173,-19.66304180537596,6.619271835564253,1.0
174,-19.679058655365633,6.629595029265757,1.0
175,-19.707676261058914,6.6333245929089575,1.0
176,-19.734460351893944,6.523623863214157,1.0
177,-19.764588998478434,6.508521640769837,1.0
178,-19.79367985683977,6.4757273996564955,1.0
179,-19.81299050886887,6.4916616634753606,1.0
180,-19.836748320979012,6.501431492479852,1.0
181,-19.858054504104288,6.552557059185363,1.0
182,-19.878058154703133,6.517466202032844,1.0
183,-19.893515917332525,6.472031070804424,1.0
184,-19.914774002535367,6.433455437504627,1.0
185,-19.932065792091606,6.3555587682348005,1.0
186,-19.950663857820224,6.367009272221027,1.0
187,-19.967436479302105,6.373575997416641,1.0
188,-19.986685014629884,6.400286379055367,1.0
189,-20.01185347121222,6.369930361962846,1.0
190,-20.031349665994636,6.329983402147355,1.0
191,-20.05867038928112,6.3077938929382675,1.0
192,-20.077628473118004,6.266768589815783,1.0
193,-20.10213286564833,6.2588907464691115,1.0
194,-20.128641249019083,6.265118284678503,1.0
195,-20.149646652572883,6.179309663567243,1.0
196,-20.165650227791502,6.139037729216414,1.0
197,-20.1878528014149,6.122406583220431,1.0
198,-20.206195503361062,6.143205030805296,1.0
199,-20.23056055352682,6.069928101767739,1.0
200,-20.247007532018245,6.037164491021209,1.0
201,-20.26256952325926,5.937644749757051,1.0
202,-20.279855687011967,5.919956662181234,1.0
203,-20.292674501469442,5.940180138487764,1.0
204,-20.31204547695836,5.8693551437019,1.0
205,-20.32783376903759,5.891118140804419,1.0
206,-20.346673474752453,5.8974026078823245,1.0
207,-20.362278695182344,5.880395915230792,1.0
208,-20.375458732285033,5.893780311768864,1.0
209,-20.39339221126608,5.869099082911678,1.0
210,-20.406896667354523,5.836049391228907,1.0
211,-20.421159510806184,5.854984582119504,1.0
212,-20.4342551171724,5.824206768589863,1.0
213,-20.45016458297058,5.818394757733811,1.0
214,-20.468403289819545,5.846943236452623,1.0
215,-20.485014060779676,5.805896627186672,1.0
216,-20.50504619850892,5.751620319819244,1.0
217,-20.524128659588712,5.691725407925939,1.0
218,-20.545456723536113,5.665561690317789,1.0
219,-20.56350664795434,5.669651640800847,1.0
220,-20.58181884448048,5.6205296478184765,1.0
221,-20.601576713657266,5.583600422726823,1.0
222,-20.61524265903619,5.574866807802193,1.0
223,-20.63696647534575,5.595892307695052,1.0
224,-20.654246320267784,5.619503174917428,1.0
225,-20.67392687892407,5.542600198108916,1.0
226,-20.684941278524903,5.53682949542867,1.0
227,-20.697639837433705,5.516001927219054,1.0
228,-20.71412636095665,5.5919200104216875,1.0
229,-20.728819646967825,5.569797425751893,1.0
230,-20.746335540259913,5.515350750084746,1.0
231,-20.765859457164503,5.497396965454577,1.0
232,-20.78309284104032,5.479776806255926,1.0
233,-20.796622234849686,5.506901027524301,1.0
234,-20.811510520096896,5.518504631324449,1.0
235,-20.828416742912093,5.523084323961177,1.0
236,-20.839286513728148,5.530149921415152,1.0
237,-20.85378719919831,5.527723029235505,1.0
