k,f,grad_norm,alpha,rk_residual
93,-45.15420045741495,5.3062301438542423e-08,1.862645149230957e-09,4.10682979896286e-11
94,-45.15420045741495,5.306230141926028e-08,1.862645149230957e-09,2.3590744384011613e-11
95,-45.15420045741495,5.306230139997814e-08,1.862645149230957e-09,1.6907863554451436e-11
96,-45.15420045741495,5.3062301380695996e-08,1.862645149230957e-09,1.298156702747321e-11
97,-45.15420045741495,5.3062301361413847e-08,1.862645149230957e-09,1.2845054431262295e-11
98,-45.15420045741495,5.306230134213171e-08,1.862645149230957e-09,1.3001631958978965e-11
99,-45.15420045741495,5.306230132284957e-08,1.862645149230957e-09,1.118252699940142e-11
100,-45.15420045741495,5.306230130356742e-08,1.862645149230957e-09,1.3820017077981406e-11
101,-45.15420045741495,5.306230128428528e-08,1.862645149230957e-09,1.3969806017709035e-11
102,-45.15420045741495,5.3062301265003134e-08,1.862645149230957e-09,1.170920161899069e-11
103,-45.15420045741495,5.3062301245721e-08,1.862645149230957e-09,1.1966352789964527e-11
104,-45.15420045741495,5.306230122643885e-08,1.862645149230957e-09,1.1518519649289167e-11
105,-45.15420045741495,5.3062301207156706e-08,1.862645149230957e-09,1.1598816276730895e-11
106,-45.15420045741495,5.3062301187874564e-08,1.862645149230957e-09,1.4026680102236905e-11
107,-45.15420045741495,5.306230116859243e-08,1.862645149230957e-09,1.5179592935733605e-11
108,-45.15420045741495,5.306230114931028e-08,1.862645149230957e-09,1.533963707198713e-11
109,-45.15420045741495,5.3062301130028136e-08,1.862645149230957e-09,1.4870935491209193e-11
110,-45.15420045741495,5.306230111074599e-08,1.862645149230957e-09,1.4984730383972164e-11
111,-45.15420045741495,5.306230109146385e-08,1.862645149230957e-09,1.6010292500526697e-11
112,-45.15420045741495,5.306230107218171e-08,1.862645149230957e-09,1.5379405720437364e-11
113,-45.15420045741495,5.3062301052899566e-08,1.862645149230957e-09,1.1742458019938814e-11
114,-45.15420045741495,5.306230103361742e-08,1.862645149230957e-09,1.2480919210872636e-11
115,-45.15420045741495,5.3062301014335274e-08,1.862645149230957e-09,1.2646783739634257e-11
116,-45.15420045741495,5.306230099505314e-08,1.862645149230957e-09,1.3721445483093008e-11
117,-45.15420045741495,5.3062300975770995e-08,1.862645149230957e-09,1.2371446470567705e-11
118,-45.15420045741495,5.306230095648885e-08,1.862645149230957e-09,1.2761895945808114e-11
119,-45.15420045741495,5.306230093720671e-08,1.862645149230957e-09,1.3917826686422584e-11
120,-45.15420045741495,5.306230091792457e-08,1.862645149230957e-09,1.6005331141737732e-11
121,-45.15420045741495,5.3062300898642425e-08,1.862645149230957e-09,1.7062482674011092e-11
