k,f,grad_norm,alpha,rk_residual
0,0.0,9.503073235266042,1.0,0.5803484981158861
1,-31.305845663937266,5.262766343564503,1.0,0.615581629080326
2,-40.49860752969117,3.0514235785035595,1.0,0.6722678603126725
3,-43.17509768392239,1.9895239498395276,1.0,0.7366626604382679
4,-44.37696084667516,1.24678756068527,1.0,0.7331038458900824
5,-44.83942605288167,0.7934411188402547,1.0,0.7884473882565269
6,-45.004775710363575,0.5466712852370089,1.0,0.8327320952524587
7,-45.07336778567501,0.40207629062128897,1.0,0.7386864762476585
8,-45.115357571968985,0.2787216728061225,1.0,0.7949569148364584
9,-45.13416825200471,0.20016096227883906,1.0,0.7326822428051364
10,-45.144867289353776,0.13662480053880263,1.0,0.7621233440969056
11,-45.14941643960822,0.09781633612724491,1.0,0.7586463154583668
12,-45.15185506968792,0.06848923604467701,1.0,0.6636564492453967
13,-45.153355722606136,0.04110315824328679,1.0,0.7199217895954961
14,-45.15385607661381,0.026244267986739293,1.0,0.70451222210455
15,-45.15405203894419,0.017228956482236688,1.0,0.7297394687882447
16,-45.154142642906876,0.010753093326948203,1.0,0.9360603628335354
17,-45.15416115906113,0.008865478417041734,1.0,0.6608020165024909
18,-45.15418682950618,0.005220710436303544,1.0,0.8329330158566873
19,-45.15419293128741,0.0038797235729860417,1.0,0.7910462461360002
20,-45.15419664796502,0.0027602354563554905,1.0,0.8078189959643846
21,-45.15419842442003,0.0020164299558850262,1.0,0.7067299345654295
22,-45.15419962433012,0.0012908019057069225,1.0,0.7462042140951552
23,-45.1542000510167,0.0009015522483685311,1.0,0.6469448898799298
24,-45.15420030971468,0.0005435075405618387,1.0,0.6807818502244065
25,-45.15420039785079,0.0003451495361771618,1.0,0.715649659007289
26,-45.15420043358921,0.0002182919585065621,1.0,0.7041042299298116
27,-45.15420044745227,0.00014115703324515965,1.0,0.8439814979849781
28,-45.15420045208604,0.00010323634773806683,1.0,0.7075495102335304
29,-45.15420045506536,6.854992048013096e-05,1.0,0.6592733456897395
30,-45.15420045648609,4.3100888783284475e-05,1.0,0.7789110603461674
31,-45.15420045692914,3.1169509758421387e-05,1.0,0.720336450152722
32,-45.15420045721469,2.0011186403508313e-05,1.0,0.7847204940878804
33,-45.15420045731489,1.4143078750736707e-05,1.0,0.7611977997269075
34,-45.15420045736943,9.537093457955542e-06,1.0,0.7942190865497999
35,-45.154200457393486,6.545468977877884e-06,1.0,0.8547853257559208
36,-45.154200457403086,4.868704252315196e-06,1.0,0.7527495353900499
37,-45.15420045740928,3.3539006011434507e-06,1.0,0.6761499930818058
38,-45.15420045741277,2.0797355376320554e-06,1.0,0.6791245212839389
39,-45.154200457414056,1.3102822346440018e-06,1.0,0.8004652230714326
40,-45.154200457414476,9.47245139010204e-07,1.0,0.7452482439910194
41,-45.15420045741471,6.52400735772894e-07,1.0,0.6593248968004592
42,-45.15420045741486,3.77913040231507e-07,1.0,0.779743648554186
43,-45.15420045741488,2.609349413656064e-07,1.0,0.797453852912572
44,-45.15420045741489,1.8508974267779115e-07,1.0,0.6687344958022343
45,-45.154200457414895,1.0832190995563423e-07,1.0,0.7770183610730149
46,-45.15420045741492,7.559960777387036e-08,0.0625,0.7050812899460769
47,-45.15420045741493,7.300693923671544e-08,0.000244140625,0.4741525270368665
48,-45.15420045741493,7.299265287368416e-08,5.960464477539063e-08,0.2654864115939819
49,-45.15420045741493,7.299264877525374e-08,1.4901161193847656e-08,0.16590813976975946
50,-45.15420045741493,7.299264775258977e-08,7.450580596923828e-09,0.10635405947688509
51,-45.15420045741493,7.299264729235872e-08,0.00390625,0.052189687708188215
52,-45.15420045741493,7.27082145749739e-08,9.5367431640625e-07,0.02971825910639216
53,-45.15420045741494,7.270814523963145e-08,7.450580596923828e-09,0.018677796020389784
54,-45.15420045741494,7.270814480984345e-08,7.62939453125e-06,0.010906907185710822
55,-45.15420045741494,7.270759020550991e-08,7.450580596923828e-09,0.007038983445044014
56,-45.15420045741494,7.2707589775536e-08,3.725290298461914e-09,0.004200634200887497
57,-45.15420045741494,7.270758963075743e-08,1.1920928955078125e-07,0.002177922756644787
58,-45.15420045741494,7.270758099023311e-08,1.4901161193847656e-08,0.0013205690198116646
59,-45.15420045741494,7.270757991352993e-08,1.862645149230957e-09,0.0007312572048503585
60,-45.15420045741494,7.270757988808736e-08,1.862645149230957e-09,0.0004532927272358016
61,-45.15420045741494,7.27075798626448e-08,1.862645149230957e-09,0.00026498056776067664
62,-45.15420045741494,7.270757983720222e-08,1.862645149230957e-09,0.00016203174467396735
63,-45.15420045741494,7.270757981175964e-08,1.862645149230957e-09,0.00010309422020936218
64,-45.15420045741494,7.270757978631707e-08,1.862645149230957e-09,6.215801745940222e-05
65,-45.15420045741494,7.27075797608745e-08,0.03125,3.22916964279834e-05
66,-45.15420045741494,7.043546797560558e-08,0.25,0.00033429060665659096
67,-45.15420045741494,5.282660213651686e-08,1.1920928955078125e-07,0.0029816079823148816
68,-45.15420045741494,5.2826595768155175e-08,0.00048828125,0.001757451228211795
69,-45.15420045741494,5.280080154631263e-08,2.384185791015625e-07,0.0011089078221102953
70,-45.15420045741494,5.280078892457708e-08,1.4901161193847656e-08,0.0007780441619784907
71,-45.15420045741494,5.2800788198220377e-08,1.1920928955078125e-07,0.0004120200890038519
72,-45.15420045741494,5.280078182722346e-08,0.00048828125,0.00023084263523356595
73,-45.154200457414944,5.2775000233791854e-08,5.960464477539063e-08,0.00013212667905142028
74,-45.154200457414944,5.277499707567999e-08,2.9802322387695312e-08,7.247708883172043e-05
