iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
0,0.0,43.2840843839583,0.2369382289580827,-1.2498123075441623,1.0,0,0.3248198330402374,0.3248259169049561,30,30,,,,,43.2840843839583,935.3402524788531,0.0,0,3757552657,
1,-0.6424490818017898,43.364609310570735,0.2285693803189856,-1.0833718510269286,1.0,0,0.16628075018525124,0.491339375032112,30,60,,,,,43.364609310570735,985.9270869722393,0.0,0,673228719,
2,-1.201710269415751,43.48582846965395,0.2804210987974132,-1.7514762536272395,1.0,0,0.15505737508647144,0.6464836250524968,30,90,,,,,43.48582846965395,1006.9040394550823,0.0,0,3241444873,
3,-2.10340150904632,43.45070029435258,0.29652797422043026,-1.9519759333815663,1.0,0,0.19509591697715223,0.8417148750741035,30,120,,,,,43.45070029435258,968.7377869645605,0.0,0,3685993406,
4,-3.1088544294989777,43.177046872978835,0.2423431366427648,-1.2350026947193613,1.0,0,0.1824603748973459,1.0243187919259071,30,150,,,,,43.177046872978835,967.0766038418616,0.0,0,1216546553,
5,-3.7456971442795366,43.089778574528125,0.21931348518908608,-1.0413328492335252,1.0,0,0.18377324985340238,1.2082414999604225,30,180,,,,,43.089778574528125,1002.6300691553703,0.0,0,2078861726,
6,-4.282708393773964,43.130825872606906,0.22024657138523884,-1.0358584243138256,1.0,0,0.16991991619579494,1.3783285829704255,30,210,,,,,43.130825872606906,961.6615201631324,0.0,0,2471122328,
7,-4.816607781138696,43.04330504891057,0.25737687763857087,-1.3727174750772977,1.0,0,0.17351258406415582,1.5519846670795232,30,240,,,,,43.04330504891057,1020.0948803318252,0.0,0,23012616,
8,-5.52442655436899,43.28455903348593,0.3114197977685657,-1.9891476008269917,1.0,0,0.16534424992278218,1.7174634579569101,30,270,,,,,43.28455903348593,987.9763633587847,0.0,0,3031610183,
9,-6.551366156022874,42.945339915521465,0.2704872433346922,-1.4999516675567748,1.0,0,0.15774287516251206,1.8752875830978155,30,300,,,,,42.945339915521465,989.3748153734734,0.0,0,2976135721,
10,-7.324863428175986,43.07040783594078,0.29417833922219433,-1.844748177847419,1.0,0,0.16448479192331433,2.039859374985099,30,330,,,,,43.07040783594078,957.707501652551,0.0,0,556745865,
11,-8.27448219711975,42.62486928829549,0.2607347967302133,-1.4650998800695094,1.0,0,0.14248812501318753,2.1825154579710215,30,360,,,,,42.62486928829549,970.2919579705264,0.0,0,4118645239,
