k,f,grad_norm,x_norm,alpha,subspace_dim_s,inner_dim_r,L,rs_reg,rk_reg,rk_iters,rk_residual
0,0.0,31.49018638113405,0.0,1.0,11,10,100,0.0,0.0,100,0.5988991679017879
1,-319.5327958156368,18.77674750022715,25.279746668653026,1.0,11,10,100,0.0,0.0,100,0.6668382715847317
2,-419.7543879193847,12.333817838763105,31.521358279361234,1.0,11,10,100,0.0,0.0,100,0.704232904498835
3,-460.03941065734307,8.458901642877423,32.66265493973832,1.0,11,10,100,0.0,0.0,100,0.700856351524322
4,-479.3069643665493,5.7461212644236435,32.35894491459419,1.0,11,10,100,0.0,0.0,100,0.713372619758709
5,-487.9498577951449,3.966374002570913,31.942345409312953,1.0,11,10,100,0.0,0.0,100,0.7250523886905424
6,-491.9436340045609,2.782906809334156,31.742419033017956,1.0,11,10,100,0.0,0.0,100,0.725704784661197
7,-493.9218668992058,1.9463053512099806,31.6000957516774,1.0,11,10,100,0.0,0.0,100,0.7001184496048998
8,-494.93361145895153,1.3283882718007343,31.526428325020685,1.0,11,10,100,0.0,0.0,100,0.74115308870838
9,-495.3602485560469,0.9546419257848382,31.51872353403321,1.0,11,10,100,0.0,0.0,100,0.6956425106995808
10,-495.60763531059825,0.6454205585225291,31.498258251176715,1.0,11,10,100,0.0,0.0,100,0.6810137125619415
11,-495.726693096692,0.42243594209819735,31.50016976480933,1.0,11,10,100,0.0,0.0,100,0.7553443100052689
12,-495.7693462555537,0.30519798074848326,31.49887531222958,1.0,11,10,100,0.0,0.0,100,0.698345257056565
13,-495.7945097459509,0.20692710469734937,31.495812446933826,1.0,11,10,100,0.0,0.0,100,0.7207169612023223
14,-495.8055238473985,0.1441895411022313,31.49115772035063,1.0,11,10,100,0.0,0.0,100,0.6997978572762147
15,-495.81116738733573,0.09748612151885544,31.490449566821674,1.0,11,10,100,0.0,0.0,100,0.6994232491344367
16,-495.81371103600515,0.06645484594869291,31.49038483588746,1.0,11,10,100,0.0,0.0,100,0.7098217636606402
17,-495.8148870108056,0.04543453476204601,31.491914911286553,1.0,11,10,100,0.0,0.0,100,0.7243843881776899
18,-495.81540687162806,0.032008987864557,31.49123521565239,1.0,11,10,100,0.0,0.0,100,0.695768065853943
19,-495.81568484039883,0.021648042922342584,31.490598514798517,1.0,11,10,100,0.0,0.0,100,0.7334322712799192
20,-495.81580127780757,0.015354574092152901,31.490218208679917,1.0,11,10,100,0.0,0.0,100,0.7021470614777063
21,-495.8158635241959,0.010548467598214475,31.490370057875303,1.0,11,10,100,0.0,0.0,100,0.6781009467933389
22,-495.8158948724176,0.006969485260210163,31.49037806341526,1.0,11,10,100,0.0,0.0,100,0.7398608751640605
23,-495.81590678791764,0.00497420595573417,31.490382972306254,1.0,11,10,100,0.0,0.0,100,0.7168155074967687
24,-495.8159131848869,0.003456701708548972,31.490227306661247,1.0,11,10,100,0.0,0.0,100,0.7280335544920497
25,-495.81591614482653,0.0024553832837456166,31.490137626283218,1.0,11,10,100,0.0,0.0,100,0.6947678922521358
26,-495.81591778067883,0.0016604826947281895,31.490166901383773,1.0,11,10,100,0.0,0.0,100,0.6998874741220854
27,-495.81591852231224,0.0011286874163364468,31.490194081913362,1.0,11,10,100,0.0,0.0,100,0.7183359447465371
28,-495.81591885093,0.0007853025082597578,31.49021741736805,1.0,11,10,100,0.0,0.0,100,0.7194782371994356
29,-495.81591900785185,0.0005503237046565744,31.49018259624631,1.0,11,10,100,0.0,0.0,100,0.6902079695514607
30,-495.8159190911145,0.0003692307456486129,31.490189810426823,1.0,11,10,100,0.0,0.0,100,0.7033235844082497
31,-495.8159191278187,0.0002508447080451332,31.490190250997777,1.0,11,10,100,0.0,0.0,100,0.7103648531440605
32,-495.8159191443926,0.00017255538611284877,31.49018322806243,1.0,11,10,100,0.0,0.0,100,0.71786121454947
33,-495.8159191521792,0.00011916950710761276,31.490184838615818,1.0,11,10,100,0.0,0.0,100,0.7171595677482615
34,-495.81591915585983,8.2705935050619e-05,31.4901843886412,1.0,11,10,100,0.0,0.0,100,0.7164054614609182
35,-495.8159191576301,5.744904191271868e-05,31.490184235078384,1.0,11,10,100,0.0,0.0,100,0.6965747250529938
36,-495.8159191585254,3.88482984180163e-05,31.490185517956817,1.0,11,10,100,0.0,0.0,100,0.7359880476696803
37,-495.81591915890607,2.7352211240958927e-05,31.490185877064356,1.0,11,10,100,0.0,0.0,100,0.7170619482524434
38,-495.81591915909985,1.898821339816683e-05,31.49018681247951,1.0,11,10,100,0.0,0.0,100,0.6879240070142154
39,-495.8159191592002,1.2660141279106194e-05,31.490186663321982,1.0,11,10,100,0.0,0.0,100,0.7330694536398603
40,-495.81591915924037,8.897489598371857e-06,31.490186785349493,1.0,11,10,100,0.0,0.0,100,0.7124027474011418
41,-495.81591915926134,6.119165317857389e-06,31.490186542006327,1.0,11,10,100,0.0,0.0,100,0.7301432203919137
42,-495.81591915927095,4.246192231366365e-06,31.490186451560884,1.0,11,10,100,0.0,0.0,100,0.7290754543890019
43,-495.81591915927555,2.9756176015277563e-06,31.49018632744517,1.0,11,10,100,0.0,0.0,100,0.7192610097303971
44,-495.8159191592781,2.0596255625303916e-06,31.49018636497095,1.0,11,10,100,0.0,0.0,100,0.7189337776101781
45,-495.815919159279,1.4387224563200864e-06,31.490186344072328,1.0,11,10,100,0.0,0.0,100,0.7248394638313799
46,-495.8159191592798,1.0058914212421304e-06,31.490186337099292,1.0,11,10,100,0.0,0.0,100,0.7157706399977672
47,-495.81591915928,6.954045810626234e-07,31.490186346945592,0.25,11,10,100,0.0,0.0,100,0.71421577538337
48,-495.81591915928016,6.098742150772706e-07,31.490186348497293,1.0,11,10,100,0.0,0.0,100,0.4825053114694412
49,-495.8159191592802,2.8914093144174123e-07,31.490186381041138,0.00048828125,11,10,100,0.0,0.0,100,0.7730760308511504
50,-495.81591915928027,2.8907478962670394e-07,31.49018638104073,0.0078125,11,10,100,0.0,0.0,100,0.48464996041758307
51,-495.8159191592804,2.8731904467857957e-07,31.490186381032835,1.4901161193847656e-08,11,10,100,0.0,0.0,100,0.2867895078763531
52,-495.8159191592804,2.873190408556425e-07,31.490186381032835,1.1920928955078125e-07,11,10,100,0.0,0.0,100,0.1705757773725511
53,-495.81591915928044,2.8731900758044326e-07,31.490186381032835,1.4901161193847656e-08,11,10,100,0.0,0.0,100,0.10736512812518528
54,-495.81591915928044,2.873190034376017e-07,31.490186381032835,7.450580596923828e-09,11,10,100,0.0,0.0,100,0.06337730720851306
55,-495.81591915928044,2.873190016403017e-07,31.490186381032835,7.450580596923828e-09,11,10,100,0.0,0.0,100,0.038586597819125816
56,-495.81591915928044,2.8731899984504446e-07,31.49018638103284,7.450580596923828e-09,11,10,100,0.0,0.0,100,0.023977261892762117
57,-495.81591915928044,2.8731899803388775e-07,31.49018638103284,1.52587890625e-05,11,10,100,0.0,0.0,100,0.014017017807071637
58,-495.81591915928044,2.873146147495362e-07,31.49018638103284,7.450580596923828e-09,11,10,100,0.0,0.0,100,0.008166518751866126
59,-495.81591915928044,2.873146129371647e-07,31.49018638103284,1.0,11,10,100,0.0,0.0,100,0.004762511061769948
60,-495.8159191592805,1.3636055596249035e-09,31.490186381134766,3.814697265625e-06,11,10,100,0.0,0.0,100,0.8706742169620876
61,-495.8159191592805,1.3636035755907914e-09,31.490186381134766,3.814697265625e-06,11,10,100,0.0,0.0,100,0.510329087080076
62,-495.8159191592805,1.3635996919311634e-09,31.49018638113477,0.0625,11,10,100,0.0,0.0,100,0.3039489771588694
63,-495.81591915928055,1.2862393393738105e-09,31.490186381134297,9.5367431640625e-07,11,10,100,0.0,0.0,100,0.1886838766135552
64,-495.81591915928055,1.286238650361146e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.1122801923227657
65,-495.81591915928055,1.2862384061848476e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.06877822740411332
66,-495.81591915928055,1.286238169763181e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.041065896974358855
67,-495.81591915928055,1.2862379329474383e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.024727476973885935
68,-495.81591915928055,1.2862376954679171e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.015616266209056309
69,-495.81591915928055,1.2862374577752137e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.009631369723412537
70,-495.81591915928055,1.2862372205066063e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0057122736441312175
71,-495.81591915928055,1.2862369840151464e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0034650588149910417
72,-495.81591915928055,1.2862367466294802e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0021119157155238353
73,-495.81591915928055,1.2862365092124319e-09,31.490186381134297,9.5367431640625e-07,11,10,100,0.0,0.0,100,0.0012427042667819046
74,-495.81591915928055,1.286235792902194e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0007589661642991265
75,-495.81591915928055,1.2862355554853307e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.00045091017487054166
76,-495.81591915928055,1.286235318068572e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0002727501646473238
77,-495.81591915928055,1.286235080651918e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.0001665363623974517
78,-495.81591915928055,1.2862348432353686e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,0.00010034715560092386
79,-495.81591915928055,1.2862346058189234e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,6.083220207739654e-05
80,-495.81591915928055,1.286234368402583e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,3.6276623506798854e-05
81,-495.81591915928055,1.2862341309863471e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,2.1294409937485622e-05
82,-495.81591915928055,1.2862338935702155e-09,31.490186381134297,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.2741387868475145e-05
83,-495.81591915928055,1.2862336561541885e-09,31.490186381134297,0.25,11,10,100,0.0,0.0,100,7.414654831159028e-06
84,-495.81591915928055,9.646752215783026e-10,31.490186381134233,9.5367431640625e-07,11,10,100,0.0,0.0,100,0.14875670422808457
85,-495.81591915928055,9.64674761620133e-10,31.490186381134233,7.62939453125e-06,11,10,100,0.0,0.0,100,0.0864724377419879
86,-495.81591915928055,9.646674367595153e-10,31.490186381134233,0.0001220703125,11,10,100,0.0,0.0,100,0.05345540871881882
87,-495.81591915928055,9.645500221419954e-10,31.490186381134233,3.0517578125e-05,11,10,100,0.0,0.0,100,0.031195888661769935
88,-495.81591915928055,9.64520612895173e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.018725679456748707
89,-495.81591915928055,9.645205720719224e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.011418303182655085
90,-495.81591915928055,9.64520531165854e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.006766332435309434
91,-495.81591915928055,9.645204901539623e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.004013704544947963
92,-495.81591915928055,9.645204491105954e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.0023577985183928984
93,-495.81591915928055,9.645204080987269e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.001448600867208207
94,-495.81591915928055,9.645203670868697e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.0008670333238077696
95,-495.81591915928055,9.645203260750246e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.0005413889628790744
96,-495.81591915928055,9.645202850631908e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.0003297825848271291
97,-495.81591915928055,9.645202440513686e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.00020380195212330813
98,-495.81591915928055,9.645202030080712e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,0.0001209180096939975
99,-495.81591915928055,9.645201619962722e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,7.06934805692544e-05
100,-495.81591915928055,9.645201209844847e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.217098252327503e-05
101,-495.81591915928055,9.645200799727089e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,2.5519758305887986e-05
102,-495.81591915928055,9.645200389609446e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,1.5235726480838878e-05
103,-495.81591915928055,9.645199979491919e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,9.070236795935563e-06
104,-495.81591915928055,9.645199569374508e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.579118038271378e-06
105,-495.81591915928055,9.645199159257214e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,3.3927309870983164e-06
106,-495.81591915928055,9.645198749140033e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,2.0805867774964344e-06
107,-495.81591915928055,9.645198339022969e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,1.20739080416478e-06
108,-495.81591915928055,9.64519792890602e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,7.200445779969964e-07
109,-495.81591915928055,9.645197518789189e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.363220592057611e-07
110,-495.81591915928055,9.645197108672474e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,2.643257216733921e-07
111,-495.81591915928055,9.645196698555874e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,1.6717954716265017e-07
112,-495.81591915928055,9.645196288439389e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,1.101269508157764e-07
113,-495.81591915928055,9.64519587832302e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,7.756926334433039e-08
114,-495.81591915928055,9.645195468206769e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.816418322501535e-08
115,-495.81591915928055,9.645195058090631e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.0553979577559666e-08
116,-495.81591915928055,9.64519464797461e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.983957483524581e-08
117,-495.81591915928055,9.645194237858704e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.012978366370945e-08
118,-495.81591915928055,9.645193827742916e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.073857748782166e-08
119,-495.81591915928055,9.645193417627242e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,5.0911638914380586e-08
120,-495.81591915928055,9.645193007511684e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.771486661239085e-08
121,-495.81591915928055,9.645192597396243e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.5543632188693334e-08
122,-495.81591915928055,9.645192187280917e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.6285810746250526e-08
123,-495.81591915928055,9.645191777165706e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.543844899486848e-08
124,-495.81591915928055,9.645191367050613e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.570287932383946e-08
125,-495.81591915928055,9.645190956935633e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.55760784832122e-08
126,-495.81591915928055,9.645190546820772e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.55789936332699e-08
127,-495.81591915928055,9.645190136706024e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.661759752715244e-08
128,-495.81591915928055,9.645189726591394e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.471480143210295e-08
129,-495.81591915928055,9.645189316476878e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.667418707757384e-08
130,-495.81591915928055,9.645188906362478e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.510045391833189e-08
131,-495.81591915928055,9.645188496248196e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.58083205071772e-08
132,-495.81591915928055,9.645188086134029e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.472152994887541e-08
133,-495.81591915928055,9.645187676019976e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.369006998582611e-08
134,-495.81591915928055,9.645187265906041e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.578946704323688e-08
135,-495.81591915928055,9.64518685579222e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.725970876005153e-08
136,-495.81591915928055,9.645186445678516e-10,31.490186381134233,2.384185791015625e-07,11,10,100,0.0,0.0,100,4.78570401387582e-08
137,-495.81591915928055,9.645186035564927e-10,31.490186381134233,7.62939453125e-06,11,10,100,0.0,0.0,100,4.8493755843823045e-08
138,-495.81591915928055,9.645111803990794e-10,31.490186381134233,9.5367431640625e-07,11,10,100,0.0,0.0,100,4.663323003686293e-06
139,-495.81591915928055,9.645107064948276e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,3.1270316620400123e-06
140,-495.81591915928055,9.645105777739163e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.967945230235991e-06
141,-495.81591915928055,9.645104490530665e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.2016891577870084e-06
142,-495.81591915928055,9.645103203322786e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,7.572614387305046e-07
143,-495.81591915928055,9.645101916115522e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,4.879007686355489e-07
144,-495.81591915928055,9.645100628908875e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,3.2369911585329934e-07
145,-495.81591915928055,9.645099341702845e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,2.3803621394001742e-07
146,-495.81591915928055,9.645098054497433e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.8683759258375263e-07
147,-495.81591915928055,9.645096767292638e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.6684554211093545e-07
148,-495.81591915928055,9.645095480088456e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.5889938198454277e-07
149,-495.81591915928055,9.645094192884895e-10,31.490186381134233,4.76837158203125e-07,11,10,100,0.0,0.0,100,1.5287847984744393e-07
