iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
23,0.09926385174587127,0.02257606142483106,0.1532547414739632,-0.0025125232360979285,1.0,0,6.064729291014373,141.48722266592085,1109,25788,0.030588021611568008,100,50,956,0.15025332417231593,0.009292255060876189,0.0,0,3150891578,2248766973
24,0.09702336335018912,0.021192379283233063,0.146162680040584,-0.0022457094932629125,1.0,0,5.975925500039011,147.46324216597714,1112,26900,0.028330660933651823,100,50,959,0.14557602578458123,0.008809382226472678,0.0,0,960827715,1993968031
25,0.09501037550304085,0.019976845219721654,0.1248702963136161,-0.0018641782580271398,1.0,0,5.821569582913071,153.28528466587886,1116,28016,0.027966335324097417,100,50,963,0.1413394680183906,0.00843658779082822,0.0,0,3003803459,1816295082
26,0.09327276877205486,0.01892227604162241,0.12480109168191442,-0.0017399236662534955,1.0,0,5.997484249994159,159.28294108295813,1125,29141,0.03061130034457447,100,50,972,0.1375582641705776,0.008050279511077035,0.0,0,3972902988,1018038117
27,0.09166579454847114,0.01791355795449987,0.12480874964187655,-0.0016449424090664384,1.0,0,7.125109000131488,166.40842391597107,1123,30264,0.029536701187281883,100,50,970,0.13384154046670216,0.007688570375783235,0.0,0,3790591899,1079520284
28,0.09016792402142952,0.016846279716563092,0.12500076154635079,-0.00153260787188625,1.0,0,6.157768624834716,172.5666764578782,1135,31399,0.02605398345189519,100,50,982,0.12979321907003882,0.007345905318321082,0.0,0,394088916,1647913318
29,0.0887818373546752,0.015931378159459168,0.1171191347593827,-0.0013816677913880964,1.0,0,6.44363437499851,179.01068141590804,1130,32529,0.022895886247795174,100,50,977,0.12621956329927295,0.007049491623181601,0.0,0,314152994,3831939575
30,0.08752570785706716,0.014990046741693883,0.10999549584518772,-0.0012304543463397132,1.0,0,5.955059291096404,184.96618737489916,1126,33655,0.02036912406878952,100,50,973,0.12243384638936197,0.00678446861011017,0.0,0,397870466,142579912
31,0.08639316103974648,0.014081958469908486,0.1140711139621187,-0.0011754442093657768,1.0,0,6.191258874954656,191.15754212485626,1123,34778,0.020291525122802207,100,50,970,0.11866742800747172,0.006513451643474754,0.0,0,2137114010,235401702
32,0.0853284232589478,0.013325389012783474,0.10928067729829408,-0.0010624394496595853,1.0,0,6.126307083060965,197.28480649995618,1134,35912,0.017690444770701204,100,50,981,0.11543564879526373,0.006289131721219189,0.0,0,1474792228,4956018
33,0.08436000426263196,0.012677026773007855,0.1079253275013087,-0.0009895868386884852,1.0,0,6.196641540853307,203.481643457897,1133,37045,0.014535472921623443,100,50,980,0.11259230334711097,0.006074663215843063,0.0,0,619364895,2222946580
34,0.08346534126616093,0.01196089030884043,0.10345487098788154,-0.0009038281552859074,1.0,0,5.9707971250172704,209.45290204090998,1136,38181,0.011859075973350506,100,50,983,0.10936585531526936,0.005887337879928689,0.0,0,3256664409,342089568
35,0.08264573602802003,0.011334323752939319,0.10033520108996381,-0.0008269240166999239,1.0,0,5.934970582835376,215.3879592078738,1135,39316,0.010209555916589983,100,50,982,0.10646278106896945,0.0057134824171386454,0.0,0,3807236267,1908926137
36,0.08189485082513537,0.010685418723633527,0.09883773241572323,-0.0007697643989705446,1.0,0,6.00893724989146,221.3973817077931,1140,40456,0.008812241134135902,100,50,987,0.10337029904007014,0.005544095388660772,0.0,0,2581425059,3780280340
37,0.08119922281741006,0.010147985441335692,0.09016259523330857,-0.0006764128029829162,1.0,0,6.855693958001211,228.25321933301166,1139,41595,0.009961534442592514,100,50,986,0.10073720981512091,0.005407450512287794,0.0,0,1242776543,1879598644
38,0.08057780569922014,0.009567571287675746,0.09081914623704146,-0.0006344285237077871,1.0,0,5.986673041014001,234.2408837499097,1139,42734,0.007275534575746082,100,50,986,0.09781396264171975,0.005264406526126249,0.0,0,4061652990,4022268685
39,0.07999942143272645,0.009084032250291276,0.08774558046540919,-0.0005805516270202815,1.0,0,5.885110124945641,240.12609516596422,1135,43869,0.00810944157111583,100,50,982,0.0953101896456579,0.005136951457040076,0.0,0,3036935336,906357247
40,0.07946918724919148,0.0086148633122037,0.09027333990973495,-0.0005516835806172099,1.0,0,5.984296292066574,246.1108664998319,1144,45013,0.007719826444061266,100,50,991,0.09281628796824241,0.005007973053404114,0.0,0,2079534017,2140746563
41,0.07897290145792663,0.008225921904133203,0.08563732595328116,-0.0005053828294804683,1.0,0,6.300173416966572,252.41155404085293,1143,46156,0.01304406950010745,100,50,990,0.09069686821568429,0.0048991898207459235,0.0,0,3750301975,2543105466
42,0.07851908718954355,0.007748953438321431,0.07864730703720216,-0.0004496894042460539,1.0,0,6.0931879580020905,258.50483312481083,1148,47304,0.01623428831673688,100,50,995,0.08802814003670321,0.004800058073795747,0.0,0,2479225051,2233277275
43,0.07811014442578953,0.007219206055535456,0.08105706320542588,-0.00042685011033758883,1.0,0,6.334616416832432,264.8403194998391,1153,48457,0.015470673030577657,100,50,1000,0.08496591113814679,0.004685948696797312,0.0,0,872681234,2962160392
44,0.07772687298397991,0.006842079003184612,0.0749935060989506,-0.00037677585905768863,1.0,0,6.162000499898568,271.0027874580119,1150,49607,0.021634733096226405,100,50,997,0.08271686045290048,0.004602366665039096,0.0,0,2676776808,870606752
45,0.07738366065572087,0.006472437779036777,0.07506204766839497,-0.0003497437953397798,1.0,0,5.954502833075821,276.9577440409921,1141,50748,0.021565996126790606,100,50,988,0.08045146225542937,0.004512117113728409,0.0,0,3597561654,4140183638
46,0.07706711329466091,0.006206566238521539,0.07128159879644022,-0.00031670448037050976,1.0,0,6.775953417178243,283.7337794159539,1146,51894,0.02442472077789404,100,50,993,0.0787817633626053,0.004440679605899668,0.0,0,3117823044,3862631786
47,0.07678028312723914,0.005810245013554773,0.06559057969776412,-0.00028233077722340414,1.0,0,7.150830291910097,290.8855924999807,1146,53040,0.024757950475751536,100,50,993,0.07622496319156064,0.004375631507308217,0.0,0,1006265482,1397685222
48,0.07652126657974152,0.0054172778814766025,0.06824155331937518,-0.00027068997621515934,1.0,0,6.3839425418991596,297.2699122079648,1143,54183,0.020734626496413857,100,50,990,0.07360215948922016,0.004285297286242299,0.0,0,2037636310,3083179342
49,0.07627806879705211,0.005137825981609274,0.06288708374201808,-0.00023651689388301737,1.0,0,6.064477624837309,303.33449162496254,1149,55332,0.026695801707285645,100,50,996,0.07167862988094341,0.004226362132286033,0.0,0,3711047017,3952705891
50,0.07606205813540524,0.004876982650669478,0.0589717765422882,-0.00021085393366249158,1.0,0,6.0560319169890136,309.39099787478335,1149,56481,0.02534836599507846,100,50,996,0.06983539683190379,0.004171937164119854,0.0,0,2728520507,902006810
51,0.07586798927038914,0.004602158285119827,0.05874878837642487,-0.00019535300911652969,1.0,0,6.124917833833024,315.516806790838,1149,57630,0.024180534889569838,100,50,996,0.06783920905435017,0.004110323457167242,0.0,0,3878152381,559802607
52,0.07568962244941466,0.004323483525735666,0.05806256175956865,-0.00018376921686893833,1.0,0,6.126852750079706,321.64373991591856,1150,58780,0.02391884309783351,100,50,997,0.06575320163867054,0.004042171623391107,0.0,0,1432964197,3022744492
53,0.07552456334615776,0.0040244686552059535,0.05209940272650314,-0.00015616203522286832,1.0,0,6.035604249918833,327.68023929093033,1150,59930,0.03297223040123596,100,50,997,0.06343869998042168,0.004003039483280906,0.0,0,3181246862,3865939352
54,0.07538019257512066,0.0037297494849637923,0.053642274565011014,-0.00014833752700869708,1.0,0,5.963657000102103,333.6439918749966,1149,61079,0.028404349645736415,100,50,996,0.061071674980827176,0.003939766674723538,0.0,0,3546758820,656758572
55,0.07524570043835202,0.0035194483467167973,0.04911694146587893,-0.000128931435323472,1.0,0,6.1589177921414375,339.8033015828114,1150,62229,0.03509955542800675,100,50,997,0.05932493865750556,0.003906682988878238,0.0,0,2872184527,115879591
56,0.07512704351572627,0.0032818916852243377,0.04775758112027455,-0.00011716292077332816,1.0,0,6.787132541881874,346.590520208003,1149,63378,0.032631505238311494,100,50,996,0.05728779700096991,0.0038632676271223724,0.0,0,3033561271,1512129376
57,0.07501951610833021,0.0030546791393971646,0.045579679330480634,-0.00010526464992337553,1.0,0,6.145024624885991,352.73661437490955,1147,64525,0.03211412995619045,100,50,994,0.05526915178829113,0.003823809967158871,0.0,0,108526145,4226538932
58,0.07492285924775485,0.002838829661044621,0.04432862728634233,-9.43696605694954e-05,1.0,0,6.671047332929447,359.4078317498788,1152,65677,0.033155715517844395,100,50,999,0.05328066873683757,0.0037828728577857856,0.0,0,2518348342,2464665467
59,0.07483615825778196,0.002638142577852571,0.041772933593850564,-8.374910670693809e-05,1.0,0,6.072587917093188,365.4814874578733,1150,66827,0.033760901384095675,100,50,997,0.05136285211952867,0.0037510524106469643,0.0,0,495203669,3873441691
60,0.07475886633746745,0.0024617113459023763,0.04175563360411195,-7.659812401004601e-05,1.0,0,6.346229000017047,371.82781312498264,1152,67979,0.03261697090007598,100,50,999,0.049615636102970366,0.003706871115261162,0.0,0,693358490,1765423842
61,0.07468912941562944,0.0023128395681952982,0.03886154843133815,-6.702259084303563e-05,1.0,0,7.035759499995038,378.8640561657958,1151,69130,0.03934995196659759,100,50,998,0.0480919906865509,0.003683990316158914,0.0,0,3477935578,3941921594
62,0.07462784149758803,0.002135375151626562,0.038052219633364574,-6.086132517043465e-05,1.0,0,6.029359541134909,384.8935883748345,1150,70280,0.04020722559212283,100,50,997,0.046210119580310134,0.0036443891353897034,0.0,0,1026031267,3914528189
63,0.0745728277262165,0.0019693619031149424,0.03518512587706647,-5.2328567840567045e-05,1.0,0,6.1095400841441005,391.00417949981056,1151,71431,0.04651175066754507,100,50,998,0.04437749320449435,0.003620646346278164,0.0,0,1200357217,3532010004
64,0.07452501810908438,0.0018176340222861086,0.03359748136545937,-4.556254160780358e-05,1.0,0,6.20737920794636,397.21195770800114,1154,72585,0.04920628684390008,100,50,1001,0.04263371931096451,0.0035934072077846717,0.0,0,4249402955,2193123848
65,0.07448323261763597,0.0016712673720788783,0.03180535329080003,-4.010979293359927e-05,1.0,0,7.118081166874617,404.3301955407951,1151,73736,0.0470086044501668,100,50,998,0.04088113711822212,0.0035741628623691623,0.0,0,2268546926,3293849943
66,0.0744465367263496,0.0015180648647838118,0.029727306273502962,-3.408513017597933e-05,1.0,0,6.641192249953747,410.9724130828399,1152,74888,0.04513499977960418,100,50,999,0.038962351889789866,0.0035608758917641337,0.0,0,1783769046,3257074247
67,0.07441490811078892,0.0014015926521490619,0.027805517559659258,-2.9580602825948496e-05,1.0,0,6.225303000072017,417.198123290902,1151,76039,0.04163751500524084,100,50,998,0.03743785052789572,0.0035477519743974655,0.0,0,798477134,3052942455
68,0.07438748635088022,0.001280761297684335,0.027156151207821482,-2.6254487404521436e-05,1.0,0,6.17604162520729,423.37466158298776,1152,77191,0.03829865914032428,100,50,999,0.03578772551705871,0.003517311990181169,0.0,0,181950652,536447905
69,0.07436350246767279,0.0011607808742266298,0.02562669975977539,-2.259870496703829e-05,1.0,0,6.154974207980558,429.5298137499485,1153,78344,0.042793768989207996,100,50,1000,0.03407023443163592,0.003494859453433372,0.0,0,708515598,530220781
70,0.07434291247658534,0.0010537086231643825,0.023594323703574706,-1.873775649441558e-05,1.0,0,6.065013833111152,435.59574783290736,1150,79494,0.04693082614121635,100,50,997,0.03246087834862733,0.0034836541517590785,0.0,0,189525428,3851929466
71,0.07432564271489059,0.0009522705047525408,0.022061126751542655,-1.5977857544174166e-05,1.0,0,6.294225458055735,441.8903833748773,1151,80645,0.04274838300796705,100,50,998,0.03085888048443334,0.0034644680715517216,0.0,0,3077488880,3616964056
72,0.074310985488177,0.0008415359063396613,0.02148956323179279,-1.3652199761264771e-05,1.0,0,6.03287212504074,447.9236129159108,1150,81795,0.044270531292521176,100,50,997,0.02900923829299317,0.0034378453653000846,0.0,0,1676574054,3987624190
73,0.07429855016130238,0.0007606423827140775,0.019431944094390165,-1.1107503802465951e-05,1.0,0,6.1592128339689225,454.0832046249416,1151,82946,0.04904267617959491,100,50,998,0.02757974587834481,0.003439293361390985,0.0,0,4072254165,2643195227
74,0.07428834871985772,0.0006743321010028175,0.0185115421062165,-9.416150755451582e-06,1.0,0,7.339890208095312,461.42334904079325,1151,84097,0.04637612005118045,100,50,998,0.025967905210140026,0.003418095687691664,0.0,0,1675032477,3248103579
75,0.07427982774660621,0.0005958012222042199,0.017174105069526716,-7.662828226356432e-06,1.0,0,8.127068500034511,469.5507943329867,1150,85247,0.05283724412697722,100,50,997,0.024409039764075522,0.003406707117632001,0.0,0,377333056,3002316360
76,0.07427290279972694,0.000523164848987416,0.015538003579418739,-6.04756527744176e-06,1.0,0,8.05303454096429,477.60448170779273,1149,86396,0.05568113825620458,100,50,996,0.022872797139558948,0.003411976703262547,0.0,0,1224074246,367577181
77,0.07426738866627211,0.00045901010950869333,0.014153346797639382,-4.837140549629824e-06,1.0,0,6.710178249981254,484.31549254083075,1153,87549,0.05403627572938395,100,50,1000,0.02142452122005748,0.003409535571916011,0.0,0,1584647654,259313479
78,0.07426300054955304,0.0003955807725922704,0.012885480944735826,-3.7847329419769254e-06,1.0,0,6.071171416901052,490.3867667079903,1151,88700,0.050638540157864106,100,50,998,0.019889212467874902,0.0034064028764043378,0.0,0,3320907227,820605899
79,0.07425956977221315,0.0003367937465106196,0.011895581291680446,-2.9660697169902087e-06,1.0,0,6.3086545411497355,496.69635087484494,1152,89852,0.05030333473038873,100,50,999,0.018351941219135907,0.003388832313864631,0.0,0,2766550617,1333697991
80,0.07425691235579046,0.0002837439488180091,0.010597453331132389,-2.2323958951629213e-06,1.0,0,6.145895499968901,502.84312570793554,1153,91005,0.051918289073378344,100,50,1000,0.016844700912097225,0.003392497899303308,0.0,0,958022201,1026330268
81,0.07425491456977867,0.0002349977615655616,0.00943717882926392,-1.6535946356961044e-06,1.0,0,6.405502916080877,509.2487809997983,1152,92157,0.05287352337712726,100,50,999,0.015329636706900839,0.0033917511611479124,0.0,0,51718591,2855178325
82,0.07425344256019936,0.00019186050455964558,0.008383385183124582,-1.19122484408839e-06,1.0,0,6.004256500164047,515.2539309158456,1152,93309,0.05214398906426951,100,50,999,0.013851371937813437,0.003385787947779531,0.0,0,978057577,2798867433
83,0.07425238961598077,0.00015454711140745587,0.007310912097098955,-8.339626119711771e-07,1.0,0,6.267523791873828,521.521823832998,1151,94460,0.05375148808860343,100,50,998,0.012431697848944684,0.0033808173712087932,0.0,0,224935179,3042846439
84,0.0742516608285876,0.00012134397202323104,0.006241418990272806,-5.57743999222729e-07,1.0,0,6.728489000117406,528.2511636249255,1151,95611,0.06049512410606607,100,50,998,0.011015623996089874,0.0033839733341650435,0.0,0,2087414257,650359944
85,0.07425117756913743,9.418251296476036e-05,0.0051868300099722955,-3.52535785514387e-07,1.0,0,6.0006270001176745,534.2522799158469,1151,96762,0.06278274881705569,100,50,998,0.009704767537904262,0.0033937762601074783,0.0,0,2197188245,3879124491
86,0.07425087432285957,7.004669147506694e-05,0.004282984095981984,-2.1660020477940345e-07,1.0,0,6.044655875070021,540.297018165933,1154,97916,0.06050675582499401,100,50,1001,0.008369390149531024,0.003389486929093417,0.0,0,72867042,3809693752
87,0.07425069231871115,4.969531796304199e-05,0.003388940997045747,-1.2091866562032312e-07,1.0,0,6.044942542212084,546.3420680409763,1151,99067,0.06769668274283497,100,50,998,0.0070494906172745555,0.003405321379345693,0.0,0,925491720,4259005296
88,0.07425059219043391,3.357272432076444e-05,0.002593980660352409,-6.19345562933594e-08,1.0,0,9.155069458065554,555.4975887078326,1154,100221,0.06612884510570821,100,50,1001,0.00579419746994909,0.0034157265641704447,0.0,0,4198398202,2228319877
89,0.07425054218816171,2.1590466865443283e-05,0.0018494327376267724,-2.7882704764980095e-08,1.0,0,11.770729083102196,567.2686502498109,1152,101373,0.07081138311718607,100,50,999,0.004646554300279217,0.003437733929411111,0.0,0,2982652060,4252037793
90,0.07425052041638965,1.259689247566432e-05,0.0012248998064595057,-1.0607080748178152e-08,1.0,0,7.058503875043243,574.3280786660034,1151,102524,0.07741092953666037,100,50,998,0.003549210119965331,0.0034672542550296566,0.0,0,125847876,2567182496
91,0.07425051248699623,6.6037891026719485e-06,0.0007147837789832288,-3.151901262099951e-09,1.0,0,7.4036930000875145,581.7319367500022,1149,103673,0.0912438922375395,100,50,996,0.0025697838630266063,0.0034993570822523263,0.0,0,493025546,18714077
92,0.07425051026271114,2.939095284347619e-06,0.0003491819329136581,-6.566952694829405e-10,1.0,0,8.550194917013869,590.28298029094,1152,104825,0.11577784505573065,100,50,999,0.0017143789792072287,0.0036010195446040706,0.0,0,1300782439,3330871807
93,0.07425050983057303,1.0807835601532735e-06,0.0001280598124768232,-8.073337240186077e-11,1.0,0,6.339059958932921,596.6225949157961,1153,105978,0.17330465142255444,100,50,1000,0.0010396074067422151,0.003805708679531214,0.0,0,2562138245,2126389773
94,0.07425050978170153,3.4038758223724346e-07,3.1458273866766094e-05,-5.117968402492966e-12,1.0,0,6.109962749993429,602.7327476248611,1152,107130,0.3123782131857053,100,50,999,0.0005834274438499131,0.00438479970442825,0.0,0,1558970094,926829273
95,0.07425050977885542,1.3081186333278217e-07,7.165221199685136e-06,-3.8608127736463405e-13,1.0,0,6.183222542051226,608.91698012501,1154,108284,0.5128811484519937,100,50,1001,0.00036167922712367957,0.006634495271031874,0.0,0,3952661714,1984807878
96,0.07425050977865322,7.059662582172875e-08,5.321038741591119e-06,-2.5077564349248417e-13,1.0,0,6.2840175840537995,615.2013592498843,1148,109432,0.6021832124432501,100,50,995,0.0002657002555921404,0.008344711295180789,0.0,0,4163872109,464338782
97,0.07425050977852407,4.2832407219281885e-08,6.527492986638122e-06,-2.095008430734259e-13,1.0,0,6.094383332878351,621.2958938749507,1151,110583,0.5517284431777909,100,50,998,0.00020695991693872002,0.004656989461388623,0.0,0,2774027721,1296910394
98,0.07425050977841492,2.998023304600669e-08,2.976299965829183e-06,-5.260568597036647e-14,1.0,0,6.1161074170377105,627.4129377908539,1152,111735,0.31189950688892093,100,50,999,0.00017314800907318193,0.005600834800029257,0.0,0,3801948981,1318528067
99,0.07425050977838786,1.0028094423326355e-08,9.569081515548901e-07,-6.122003061154513e-15,1.0,0,6.059245083015412,633.4725558329374,1151,112886,0.3372468040839705,100,50,998,0.00010014037359290385,0.0064001018942486665,0.0,0,3348288168,1348012146
100,0.07425050977838478,3.4791876213455143e-09,,,,,0.004853875143453479,633.4777934160084,0,112886,,,,,,,,0,,
