iter,f,grad_norm,step_norm,gTd,alpha,armijo_iters,time_iter_sec,time_cum_sec,hvp_calls_iter,hvp_calls_cum,yk_resid_rel,inner_T,inner_r,inner_minres_total_iters,eta,lambda_min_PHPT,Lambda_shift,seed_outer,seed_Sk,seed_Rk_base
0,0.6931471805599454,0.4578048452742801,0.387567763929723,-0.04308572684852855,1.0,0,0.4431640829425305,0.4431958328932524,50,50,,,,,0.676612773508068,2.969223256540201,0.0,0,3757552657,
1,0.6685151742321847,0.441504701424518,0.3503142546294745,-0.033439388871403394,1.0,0,0.2965504170861095,0.739976457785815,50,100,,,,,0.6644582014126381,2.740376691223627,0.0,0,673228719,
2,0.6495020786174883,0.42723423073604894,0.3303217155760427,-0.029188672830684454,1.0,0,0.29079587501473725,1.030842874897644,50,150,,,,,0.653631571098007,2.852089422266338,0.0,0,3241444873,
3,0.6328152190991247,0.41369132861612923,0.34520137605294476,-0.03111284512412882,1.0,0,0.3394986670464277,1.370473749935627,50,200,,,,,0.6431884083347035,2.7346077714702575,0.0,0,3685993406,
4,0.6151029461450039,0.4008153860561798,0.34925258305335005,-0.031247336281848108,1.0,0,0.2669199160300195,1.6374636248219758,50,250,,,,,0.6330998231370625,2.618082913436812,0.0,0,1216546553,
5,0.5972212295645385,0.38671460974730626,0.3724627618050313,-0.035074071266651144,1.0,0,0.2628117501735687,1.9004032909870148,50,300,,,,,0.62186381929431,2.5738417218884906,0.0,0,2078861726,
6,0.5771755836646543,0.37149461568630765,0.36287851357989287,-0.03237371063566235,1.0,0,0.43258358305320144,2.3330569160170853,50,350,,,,,0.6095035813564246,2.5724507332851356,0.0,0,2471122328,
7,0.5585321831675261,0.35677647807288193,0.30649758459677984,-0.022290040337963665,1.0,0,0.2670259161386639,2.6001734999008477,50,400,,,,,0.597307691288905,2.4940405175621176,0.0,0,23012616,
8,0.5458019840234986,0.34675466792836906,0.394126528217359,-0.03693946814812069,1.0,0,0.2568797080311924,2.857185499975458,50,450,,,,,0.5888587843688579,2.371307646927801,0.0,0,3031610183,
9,0.524347358519321,0.3310955393642373,0.3708849855019879,-0.03205267646926314,1.0,0,0.2624638748820871,3.119779290864244,50,500,,,,,0.5754090191891654,2.267998057058405,0.0,0,2976135721,
