k,f,grad_norm,alpha,armijo_iters,gTd,step_norm,eta,lambda_min,inner_method,inner_T,inner_r,inner_solve_iters,hvp_calls_iter,time_iter_sec,seed
75,-531245963.04371345,118493.16194895773,1.0,0,-47694983.883295685,646.0392563442128,360.2933972556219,-8.03251999269841,rk,15,20,15,337,0.00284295785240829,1
76,-573723360.9099958,122378.93038091932,1.0,0,-36996498.912380576,452.6511432860248,366.4637621749864,-8.318380764534059,rk,15,20,15,337,0.0029571661725640297,1
77,-608978359.8733413,124432.34473014153,1.0,0,-50121033.35101061,640.5119040070917,369.7467872662845,-8.498547970458858,rk,15,20,15,337,0.00330904102884233,1
78,-655337309.4229592,128939.1587586909,1.0,0,-60070539.95994745,740.6392473936158,375.0324760446704,-7.975742062028984,rk,15,20,15,337,0.002910667099058628,1
79,-709731471.0187005,136243.18296266734,1.0,0,-63066431.757122576,722.6605828505059,386.44164005624975,-8.665148913236512,rk,15,20,15,337,0.0028682078700512648,1
80,-767153807.7980393,140585.5884798068,1.0,0,-52780504.662677854,593.5912402279143,391.18636283681764,-8.119457606372448,rk,15,20,15,337,0.0028998330235481262,1
81,-816372195.4612414,144566.1026760774,1.0,0,-74148372.4641445,844.1811976459392,397.1321954214155,-8.456851041800684,rk,15,20,15,337,0.0028301249258220196,1
82,-882520292.4799595,150942.34100116277,1.0,0,-59886267.72329824,650.1771364513712,404.8599973618068,-8.173505223694379,rk,15,20,15,337,0.003266500076279044,1
83,-937487229.5769573,155241.12970829624,1.0,0,-82117125.18566285,847.5564881643974,410.4875092181041,-8.2404997448898,rk,15,20,15,337,0.0029200001154094934,1
84,-1010452544.5666456,160251.46931519927,1.0,0,-88476738.52823341,915.9915057529388,417.17090384790686,-8.428345308175695,rk,15,20,15,337,0.002889083931222558,1
85,-1089138093.7121792,168231.2475535797,1.0,0,-69384489.417331,681.6460865296834,426.5010186367892,-8.17049593728782,rk,15,20,15,337,0.002889416879042983,1
86,-1152807116.879797,171241.43528149018,1.0,0,-85454491.43992327,866.4202005612656,431.03317970819097,-8.609947088879897,rk,15,20,15,337,0.002901041880249977,1
87,-1230208460.8297045,178884.05259048965,1.0,0,-80876064.51244795,749.0093160332023,439.6297812691218,-8.341456965878963,rk,15,20,15,337,0.002834124956279993,1
88,-1304885022.7304404,184993.8584019326,1.0,0,-84857794.62162887,761.7248736055429,446.658837796822,-8.274856983339907,rk,15,20,15,337,0.0031927500385791063,1
